tof posE posN posU tgtE tgtN tgtU
0.156 10.2833 10.2833 52.6271 3000 3000 3000
0.157 10.3511 10.3511 52.9637 3000 3000 3000
0.158 10.4189 10.4189 53.3003 3000 3000 3000
0.159 10.4868 10.4868 53.6369 3000 3000 3000
0.16 10.5546 10.5546 53.9735 3000 3000 3000
0.161 10.6225 10.6225 54.3101 3000 3000 3000
0.162 10.6904 10.6904 54.6466 3000 3000 3000
0.163 10.7583 10.7583 54.9832 3000 3000 3000
0.164 10.8263 10.8263 55.3197 3000 3000 3000
0.165 10.8943 10.8943 55.6563 3000 3000 3000
0.166 10.9622 10.9622 55.9928 3000 3000 3000
0.167 11.0303 11.0303 56.3293 3000 3000 3000
0.168 11.0983 11.0983 56.6658 3000 3000 3000
0.169 11.1664 11.1664 57.0023 3000 3000 3000
0.17 11.2345 11.2345 57.3388 3000 3000 3000
0.171 11.3026 11.3026 57.6753 3000 3000 3000
0.172 11.3707 11.3707 58.0118 3000 3000 3000
0.173 11.4389 11.4389 58.3482 3000 3000 3000
0.174 11.5071 11.5071 58.6847 3000 3000 3000
0.175 11.5753 11.5753 59.0211 3000 3000 3000
0.176 11.6435 11.6435 59.3576 3000 3000 3000
0.177 11.7118 11.7118 59.694 3000 3000 3000
0.178 11.7801 11.7801 60.0304 3000 3000 3000
0.179 11.8484 11.8484 60.3668 3000 3000 3000
0.18 11.9167 11.9167 60.7032 3000 3000 3000
0.181 11.9851 11.9851 61.0396 3000 3000 3000
0.182 12.0534 12.0534 61.376 3000 3000 3000
0.183 12.1218 12.1218 61.7124 3000 3000 3000
0.184 12.1903 12.1903 62.0487 3000 3000 3000
0.185 12.2587 12.2587 62.3851 3000 3000 3000
0.186 12.3272 12.3272 62.7214 3000 3000 3000
0.187 12.3957 12.3957 63.0577 3000 3000 3000
0.188 12.4642 12.4642 63.394 3000 3000 3000
0.189 12.5327 12.5327 63.7304 3000 3000 3000
0.19 12.6013 12.6013 64.0667 3000 3000 3000
0.191 12.6699 12.6699 64.4029 3000 3000 3000
0.192 12.7385 12.7385 64.7392 3000 3000 3000
0.193 12.8072 12.8072 65.0755 3000 3000 3000
0.194 12.8758 12.8758 65.4118 3000 3000 3000
0.195 12.9445 12.9445 65.748 3000 3000 3000
0.196 13.0132 13.0132 66.0842 3000 3000 3000
0.197 13.082 13.082 66.4205 3000 3000 3000
0.198 13.1507 13.1507 66.7567 3000 3000 3000
0.199 13.2195 13.2195 67.0929 3000 3000 3000
0.2 13.2883 13.2883 67.4291 3000 3000 3000
0.201 13.3571 13.3571 67.7653 3000 3000 3000
0.202 13.426 13.426 68.1015 3000 3000 3000
0.203 13.4949 13.4949 68.4377 3000 3000 3000
0.204 13.5638 13.5638 68.7738 3000 3000 3000
0.205 13.6327 13.6327 69.11 3000 3000 3000
0.206 13.7016 13.7016 69.4461 3000 3000 3000
0.207 13.7706 13.7706 69.7823 3000 3000 3000
0.208 13.8396 13.8396 70.1184 3000 3000 3000
