tof posE posN posU tgtE tgtN tgtU phi p rollRateError theta alphaRadians q pitchRateError psi betaRadians r yawRateError rollFinCommand rollFinDeflection pitchFinCommand pitchFinDeflection yawFinCommand yawFinDeflection vdot guidanceSideCommand wdot guidanceNormalCommand mach accelerationLimit staticMargin alphaPrimeDegrees seekerPitch seekerYaw seekerPitchError seekerYawError
0.0366666667 0.0551734268 0.0257277914 0.0608773420 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853979067 -0.0000042061 -0.0000464002 1.9467200639 0.4363323130 -0.0000000000 -0.0000000000 -0.0018859119 0.0000000000 0.0000000000 0.1198143361 0.1341721862 -0.0002417738 0.0000000000 0.0000000000 0.0015867745 0.0032837721 -0.0003229087 0.0148351165 50.0000001523 1.6151254127 0.0002409896 -0.0042634125 0.0175437447 -0.0269781040 0.1364443355
0.0383333333 0.0609989171 0.0284442622 0.0673051198 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853978293 -0.0000049576 -0.0000583922 1.8019207061 0.4363323130 -0.0000000000 -0.0000000000 -0.0020471514 0.0000000000 0.0000000000 0.1119455061 0.1407171709 -0.0002615282 0.0000000000 0.0000000000 0.0018609031 0.0040212433 -0.0003801463 0.0160276927 50.0000002106 1.6155036156 0.0002840476 -0.0046349801 0.0192864836 -0.0268933425 0.1355188475
0.0400000000 0.0672786536 0.0313725514 0.0742341184 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853977320 -0.0000058162 -0.0000729765 1.6716284815 0.4363323130 -0.0000000000 -0.0000000000 -0.0022174843 0.0000000000 0.0000000000 0.1047912480 0.1472621556 -0.0002823175 0.0000000000 0.0000000000 0.0021729195 0.0048917656 -0.0004455809 0.0172774754 50.0000002885 1.6158796097 0.0003332442 -0.0050147172 0.0210822212 -0.0268066946 0.1345660718
0.0416666667 0.0740334420 0.0345223609 0.0816872976 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853976104 -0.0000067936 -0.0000906019 1.5541165297 0.4363323130 -0.0000000000 -0.0000000000 -0.0023970616 0.0000000000 0.0000000000 0.0982705156 0.1538071403 -0.0003041581 0.0000000000 0.0000000000 0.0025265796 0.0059133599 -0.0005200713 0.0185845066 50.0000003918 1.6162531549 0.0003892468 -0.0054018626 0.0229263935 -0.0267183443 0.1335884877
0.0433333333 0.0812841016 0.0379033991 0.0896876329 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853974594 -0.0000079025 -0.0001117757 1.4478813940 0.4363323130 -0.0000000000 -0.0000000000 -0.0025860331 0.0000000000 0.0000000000 0.0923133320 0.1603521250 -0.0003270665 0.0000000000 0.0000000000 0.0029258636 0.0071056981 -0.0006045326 0.0199488215 50.0000005274 1.6166239915 0.0004527778 -0.0057956988 0.0248145881 -0.0266284654 0.1325884866
0.0450000000 0.0890514655 0.0415253803 0.0982581156 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853972731 -0.0000091563 -0.0001370683 1.3516147616 0.4363323130 -0.0000000000 -0.0000000000 -0.0027845469 0.0000000000 0.0000000000 0.0868589695 0.1668971097 -0.0003510584 0.0000000000 0.0000000000 0.0033749796 0.0084901508 -0.0006999386 0.0213704631 50.0000007043 1.6169918401 0.0005246152 -0.0061955511 0.0267425591 -0.0265372212 0.1315683645
0.0466666667 0.0973563804 0.0453980257 0.1074217527 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853970446 -0.0000105697 -0.0001671187 1.2641777891 0.4363323130 -0.0000000000 -0.0000000000 -0.0029927494 0.0000000000 0.0000000000 0.0818544777 0.1734420944 -0.0003761496 0.0000000000 0.0000000000 0.0038783681 0.0100898818 -0.0008073223 0.0228494629 50.0000009332 1.6173563979 0.0006056012 -0.0066007866 0.0287062385 -0.0264447652 0.1305303155
0.0483333333 0.1062197063 0.0495310625 0.1172015668 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853967661 -0.0000121587 -0.0002026399 1.1845783053 0.4363323130 -0.0000000000 -0.0000000000 -0.0032107844 0.0000000000 0.0000000000 0.0772535077 0.1799870791 -0.0004023554 0.0000000000 0.0000000000 0.0044407053 0.0119299335 -0.0009277780 0.0243858695 50.0000012275 1.6177173387 0.0006966442 -0.0070108123 0.0307017436 -0.0263512410 0.1294764286
0.0500000000 0.1156623171 0.0539342242 0.1276205964 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853964284 -0.0000139404 -0.0002444246 1.1119508131 0.4363323130 -0.0000000000 -0.0000000000 -0.0034387935 0.0000000000 0.0000000000 0.0730153423 0.1865320638 -0.0004296908 0.0000000000 0.0000000000 0.0050669069 0.0140372580 -0.0010624624 0.0259797089 50.0000016031 1.6180743103 0.0007987252 -0.0074250740 0.0327253817 -0.0262567826 0.1284086854
0.0516666667 0.1257051000 0.0586172508 0.1387018959 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853960210 -0.0000159332 -0.0002933512 1.0455391088 0.4363323130 -0.0000000000 -0.0000000000 -0.0036769153 0.0000000000 0.0000000000 0.0691040948 0.1930770485 -0.0004581706 0.0000000000 0.0000000000 0.0057621313 0.0164408607 -0.0012125963 0.0276310276 50.0000020798 1.6184269326 0.0009129032 -0.0078430541 0.0347736514 -0.0261615150 0.1273289598
