1 aimc11_3.asc Terminal guidance against 3 g target ' Missile AIM ' Nov 30 2022 22:16:57
  0  0 76
time            vmach           pdynmc          psiblx          thtblx          
phiblx          alppx           phipx           alphax          betax           
erq             etbl            ppx             qqx             rrx             
SBEL1           SBEL2           SBEL3           track           VBEL1           
VBEL2           VBEL3           dvbe            hbe             psivlx          
thtvlx          anx             ayx             dts             vmass           
thrust          ai11            ai33            stmarg          realq1          
realq2          wnq             zetq            gavail          gmax            
dbt             ththbx          phihbx          EAHH1           EAHH2           
EAHH3           thtpbx          psipbx          sigdpy          sigdpz          
ancomx          alcomx          apny            adely           all             
tgoc            dtbc            dvtbc           psiobcx         thtobcx         
phicomx         dpcx            dqcx            drcx            dpx             
dqx             drx             delx1           ddx1            miss            
etax            zetx            etacx           zetcx           detas           
dzeta           
-0.0134433      0.453911        29.9733         0.393207        0.22677         
-2.73383e-09    9.25207e-09     0.0745577       -0.874436       -0.754921       
400.328         -0.234657       -994.598        400.328         613.722         
-1.24008        11.0906         613.823         994.598         -0.115771       
-1.03528        0.329962        -0.198469       9795.48         79.2689         
35885.1         0.279685        53.5709         0.680371        0               
0               9.09889         0.080961        49.563          50              
9364.96         0.620766        149.903         0               0.000170934     
1.78126e-05     -0.537072       0.311299        -0.000550769    -0.00152414     
0.41948         -0.271441       -0.502818       0.231132        -0.271441       
0               0               0               0               0               
0               0.000364544     -0.0989012      0.055649        0.000420909     
-0.108081       0.0586828       -0.167185       0.750936        0               
0               0               0               0               0               
0               
1               1.88511         223734          -0.3814         -0.667836       
-0.0100264      0.457592        32.7373         0.38491         0.247458        
-1.06194e-09    3.63853e-09     0.0506317       -0.263599       -0.737367       
431.536         -0.302476       -994.029        431.536         634.569         
-1.47822        11.6608         634.678         994.029         -0.133469       
-1.05274        0.356341        -0.232158       9783.06         78.6155         
35770.2         0.277919        53.2761         0.633285        0               
0               8.95725         0.082974        49.5396         50              
9321.31         0.61897         146.109         0               0.00018546      
2.77372e-05     -0.513803       0.345158        -0.000756456    -0.00161731     
0.363306        -0.290234       -0.546407       0.255992        -0.290234       
0               0               0               0               0               
0               0.000282702     -0.058672       0.0493352       0.000288471     
-0.0689611      0.0500454       -0.119295       0.872579        0               
0               0               0               0               0               
0               
1.05            1.94701         238684          -0.415244       -0.684435       
-0.00785361     0.464485        34.3898         0.383302        0.262348        
-8.93324e-10    3.1147e-09      0.0212604       -0.496167       -0.622897       
463.785         -0.382963       -993.432        463.785         655.391         
-1.74517        12.2121         655.507         993.432         -0.152566       
-1.06748        0.381669        -0.256695       9770.64         77.962          
35655.2         0.276154        52.9812         0.580644        0               
0               8.73756         0.0856366       49.5131         50              
9276.61         0.624052        143.159         0               0.000188791     
5.39121e-05     -0.499425       0.374191        -0.000762845    -0.00175307     
0.366244        -0.328871       -0.606178       0.277164        -0.328871       
0               0               0               0               0               
0               0.00029384      -0.047182       0.0525755       0.000293241     
-0.0463338      0.0511358       -0.0977628      -0.0645601      0               
0               0               0               0               0               
0               
1.1             2.00881         254098          -0.44667        -0.716425       
-0.00624816     0.457132        36.8476         0.365816        0.274135        
-1.38317e-09    4.81537e-09     0.0181344       -0.713987       -0.667235       
497.074         -0.477316       -992.807        497.075         676.182         
-2.03208        12.7683         676.306         992.807         -0.172186       
-1.08178        0.373585        -0.277567       9758.23         77.2861         
35527           0.274388        52.6829         0.528592        0               
0               8.48856         0.0887434       49.5014         50              
9230.88         0.617037        139.54          0               0.000188002     
7.74836e-05     -0.469471       0.400419        -0.000661518    -0.00187658     
0.418801        -0.367525       -0.663749       0.296103        -0.367525       
0               0               0               0               0               
0               0.000224737     -0.0607225      0.0539278       0.000253296     
-0.0566287      0.0544943       -0.111376       -0.288398       0               
0               0               0               0               0               
0               
1.15            2.0705          269965          -0.482333       -0.747756       
-0.00467849     0.453721        39.612          0.349541        0.289284        
-1.28949e-09    4.43708e-09     0.0199116       -0.476625       -0.744077       
531.402         -0.586578       -992.155        531.403         696.935         
-2.34335        13.3463         697.066         992.155         -0.192649       
-1.09708        0.368998        -0.30962        9745.82         76.5838         
35383           0.272622        52.3805         0.510612        0               
0               8.52496         0.0897128       49.4818         50              
9184.12         0.615607        135.62          0               0.000192144     
9.33096e-05     -0.43998        0.430573        -0.000644303    -0.00196916     
0.442267        -0.394206       -0.712056       0.317754        -0.394206       
0               0               0               0               0               
0               0.000136843     -0.0632522      0.0493476       0.000156658     
-0.0648376      0.050574        -0.115568       0.152775        0               
0               0               0               0               0               
0               
1.2             2.13206         286279          -0.518973       -0.764517       
-0.00334047     0.461777        41.212          0.347387        0.304238        
-8.99502e-10    3.09833e-09     0.0145261       -0.231277       -0.707492       
566.767         -0.71217        -991.473        566.768         717.642         
-2.68534        13.9288         717.782         991.473         -0.214394       
-1.11191        0.389231        -0.342579       9733.41         75.8815         
35239           0.270856        52.0781         0.489963        0               
0               8.52192         0.0909743       49.449          50              
9136.32         0.627416        132.657         0               0.00019803      
0.000109131     -0.425134       0.461428        -0.000695751    -0.00207363     
0.429843        -0.426356       -0.766185       0.339758        -0.426356       
0               0               0               0               0               
0               9.27526e-05     -0.0502299      0.0486557       0.000101391     
-0.0541324      0.0482623       -0.102496       0.273401        0               
0               0               0               0               0               
0               
1.25            2.19346         303033          -0.553365       -0.776987       
-0.00212417     0.470202        42.2305         0.348163        0.316028        
-8.24322e-10    2.86428e-09     0.00590608      -0.31321        -0.681075       
603.166         -0.855563       -990.762        603.167         738.299         
