TOF RNG CROSSRNG ALT PHI THETA PSI ROLLRATE PITCHRATE YAWRATE ALPHA BETA ALPHADOT BETADOT PDOT QDOT RDOT UDOT VDOT WDOT
0.1633 73.2718 -0.0030 10000.8509 2.3178 0.0174 -0.0003 106.0719 -0.0264 -0.0156 0.0027 0.0022 -0.0630 0.0226 575.9308 -0.2380 -0.1907 1874.8469 -23.2151 22.2707
0.1650 74.2877 -0.0031 10000.8599 2.4954 0.0175 -0.0004 107.0295 -0.0268 -0.0159 0.0026 0.0022 -0.0694 0.0152 573.0775 -0.2312 -0.1955 1871.8653 -18.9735 26.0834
0.1667 75.3088 -0.0031 10000.8689 2.6746 0.0175 -0.0004 107.9822 -0.0271 -0.0162 0.0025 0.0023 -0.0745 0.0067 570.2158 -0.2234 -0.1993 1868.8803 -14.0793 29.1096
0.1683 76.3351 -0.0032 10000.8778 2.8554 0.0176 -0.0003 108.9302 -0.0275 -0.0165 0.0024 0.0023 -0.0781 -0.0025 567.3458 -0.2148 -0.2018 1865.8919 -8.6751 31.2291
0.1700 77.3666 -0.0033 10000.8868 3.0377 0.0177 -0.0003 109.8733 -0.0279 -0.0169 0.0023 0.0023 -0.0800 -0.0122 564.4676 -0.2055 -0.2030 1862.9003 -2.9274 32.3473
0.1717 78.4032 -0.0034 10000.8957 3.2216 0.0177 -0.0003 110.8117 -0.0282 -0.0172 0.0021 0.0022 -0.0802 -0.0220 561.5812 -0.1958 -0.2027 1859.9054 2.9781 32.4002
0.1733 79.4450 -0.0035 10000.9047 3.4071 0.0177 -0.0003 111.7453 -0.0285 -0.0176 0.0020 0.0022 -0.0786 -0.0317 558.6868 -0.1860 -0.2009 1856.9073 8.8423 31.3584
0.1750 80.4920 -0.0035 10000.9137 3.5941 0.0178 -0.0002 112.6740 -0.0288 -0.0179 0.0019 0.0021 -0.0752 -0.0408 555.7845 -0.1763 -0.1975 1853.9061 14.4588 29.2305
0.1767 81.5441 -0.0036 10000.9226 3.7827 0.0178 -0.0002 113.5979 -0.0291 -0.0182 0.0017 0.0020 -0.0703 -0.0492 552.8742 -0.1670 -0.1928 1850.9018 19.6217 26.0649
0.1783 82.6014 -0.0037 10000.9316 3.9728 0.0178 -0.0001 114.5169 -0.0294 -0.0185 0.0016 0.0020 -0.0639 -0.0565 549.9562 -0.1584 -0.1866 1847.8945 24.1333 21.9501
0.1800 83.6638 -0.0038 10000.9405 4.1644 0.0178 -0.0001 115.4311 -0.0296 -0.0188 0.0015 0.0019 -0.0563 -0.0624 547.0304 -0.1506 -0.1793 1844.8842 27.8120 17.0139
0.1817 84.7313 -0.0039 10000.9495 4.3575 0.0178 0.0000 116.3403 -0.0299 -0.0191 0.0014 0.0018 -0.0477 -0.0666 544.0970 -0.1440 -0.1710 1841.8709 30.5007 11.4205
0.1833 85.8040 -0.0040 10000.9585 4.5522 0.0178 0.0001 117.2447 -0.0301 -0.0194 0.0014 0.0016 -0.0384 -0.0691 541.1560 -0.1386 -0.1619 1838.8545 32.0740 5.3657
0.1850 86.8817 -0.0041 10000.9674 4.7483 0.0178 0.0001 118.1442 -0.0303 -0.0197 0.0013 0.0015 -0.0289 -0.0697 538.2014 -0.1349 -0.1527 1835.8352 32.4455 -0.9286
0.1867 87.9646 -0.0042 10000.9764 4.9460 0.0177 0.0002 119.0387 -0.0306 -0.0199 0.0013 0.0014 -0.0195 -0.0684 535.2389 -0.1326 -0.1432 1832.8129 31.5728 -7.2227
0.1883 89.0525 -0.0042 10000.9854 5.1451 0.0177 0.0002 119.9289 -0.0308 -0.0201 0.0012 0.0013 -0.0105 -0.0652 533.2355 -0.1318 -0.1339 1831.6441 29.4618 -13.2676
0.1900 90.1456 -0.0043 10000.9943 5.3458 0.0176 0.0002 120.8162 -0.0310 -0.0204 0.0012 0.0012 -0.0024 -0.0602 531.4646 -0.1324 -0.1251 1830.9383 26.1695 -18.8154
0.1917 91.2437 -0.0044 10001.0033 5.5479 0.0176 0.0002 121.7005 -0.0312 -0.0206 0.0012 0.0011 0.0046 -0.0536 529.6846 -0.1342 -0.1169 1830.2315 21.8036 -23.6291
0.1933 92.3469 -0.0045 10001.0123 5.7514 0.0175 0.0002 122.5818 -0.0314 -0.0207 0.0013 0.0010 0.0100 -0.0457 527.8956 -0.1372 -0.1098 1829.5235 16.5207 -27.4940
0.1950 93.4552 -0.0046 10001.0213 5.9565 0.0174 0.0002 123.4601 -0.0317 -0.0209 0.0013 0.0009 0.0137 -0.0367 526.0975 -0.1409 -0.1040 1828.8143 10.5224 -30.2277
0.1967 94.5685 -0.0046 10001.0302 6.1630 0.0174 0.0002 124.3354 -0.0319 -0.0211 0.0013 0.0009 0.0154 -0.0271 524.2904 -0.1453 -0.0997 1828.1038 4.0479 -31.6900
0.1983 95.6870 -0.0047 10001.0392 0.0877 0.0173 0.0002 125.2077 -0.0322 -0.0213 0.0013 0.0009 0.0151 -0.0173 522.4744 -0.1498 -0.0969 1827.3919 -2.6339 -31.7910
0.2000 96.8105 -0.0048 10001.0482 0.2971 0.0173 0.0001 126.0770 -0.0324 -0.0214 0.0013 0.0008 0.0127 -0.0078 520.6494 -0.1542 -0.0958 1826.6786 -9.2355 -30.4981
0.2017 97.9391 -0.0049 10001.0571 0.5080 0.0172 0.0001 126.9432 -0.0327 -0.0216 0.0014 0.0008 0.0083 0.0012 518.8156 -0.1580 -0.0964 1825.9637 -15.4629 -27.8400
0.2033 99.0728 -0.0049 10001.0661 0.7203 0.0172 0.0000 127.8064 -0.0329 -0.0217 0.0014 0.0008 0.0021 0.0091 516.9729 -0.1609 -0.0986 1825.2471 -21.0292 -23.9081
0.2050 100.2115 -0.0050 10001.0750 0.9340 0.0172 -0.0000 128.6665 -0.0332 -0.0219 0.0014 0.0009 -0.0057 0.0156 515.1214 -0.1626 -0.1021 1824.5290 -25.6676 -18.8559
