TOF RNG CROSSRNG ALT PHI THETA PSI ROLLRATE PITCHRATE YAWRATE ALPHA BETA ALPHADOT BETADOT PDOT QDOT RDOT UDOT VDOT WDOT
8.2183 13741.8522 -24.1768 9161.2036 0.1627 0.0162 0.0029 -103.0006 -0.0207 -0.0127 0.0010 0.0015 0.0061 -0.0095 -25.5276 -0.6323 -0.9391 -101.0657 -3.6733 -30.9200
8.2200 13743.7262 -24.1828 9160.7981 6.2922 0.0162 0.0029 -103.0431 -0.0218 -0.0143 0.0010 0.0015 0.0054 -0.0154 -25.5203 -0.6390 -0.9267 -101.0353 1.2277 -31.3358
8.2217 13745.5999 -24.1888 9160.3926 6.1204 0.0161 0.0029 -103.0857 -0.0229 -0.0158 0.0010 0.0014 0.0040 -0.0216 -25.5129 -0.6446 -0.9083 -101.0048 6.6978 -30.9053
8.2233 13747.4733 -24.1947 9159.9870 5.9485 0.0161 0.0029 -103.1282 -0.0240 -0.0173 0.0010 0.0014 0.0017 -0.0278 -25.5054 -0.6483 -0.8833 -100.9741 12.0059 -29.5423
8.2250 13749.3464 -24.2007 9159.5812 5.7766 0.0160 0.0028 -103.1707 -0.0250 -0.0188 0.0010 0.0013 -0.0013 -0.0335 -25.4980 -0.6492 -0.8522 -100.9433 16.9945 -27.2868
8.2267 13751.2193 -24.2067 9159.1754 5.6046 0.0160 0.0028 -103.2132 -0.0261 -0.0202 0.0010 0.0013 -0.0051 -0.0389 -25.4905 -0.6466 -0.8152 -100.9125 21.5152 -24.2054
8.2283 13753.0919 -24.2126 9158.7695 5.4326 0.0159 0.0029 -103.2556 -0.0272 -0.0215 0.0010 0.0012 -0.0095 -0.0436 -25.4829 -0.6397 -0.7729 -100.8815 25.4330 -20.3891
8.2300 13754.9642 -24.2186 9158.3635 5.2604 0.0159 0.0029 -103.2981 -0.0283 -0.0227 0.0010 0.0011 -0.0144 -0.0476 -25.4754 -0.6279 -0.7260 -100.8506 28.6304 -15.9507
8.2317 13756.8362 -24.2246 9157.9574 5.0882 0.0158 0.0029 -103.3406 -0.0293 -0.0239 0.0009 0.0011 -0.0197 -0.0509 -25.4678 -0.6108 -0.6753 -100.8197 31.0109 -11.0220
8.2333 13758.7079 -24.2305 9157.5512 4.9160 0.0157 0.0029 -103.3830 -0.0303 -0.0250 0.0009 0.0010 -0.0253 -0.0533 -25.4602 -0.5880 -0.6217 -100.7890 32.5020 -5.7494
8.2350 13760.5794 -24.2365 9157.1449 4.7436 0.0157 0.0030 -103.4254 -0.0312 -0.0260 0.0009 0.0009 -0.0310 -0.0548 -25.4525 -0.5593 -0.5660 -100.7584 33.0572 -0.2898
8.2367 13762.4506 -24.2424 9156.7385 4.5712 0.0157 0.0030 -103.4678 -0.0322 -0.0269 0.0008 0.0008 -0.0367 -0.0553 -25.4449 -0.5247 -0.5092 -100.7281 32.6579 5.1939
8.2383 13764.3215 -24.2484 9156.3321 4.3987 0.0156 0.0031 -103.5103 -0.0330 -0.0277 0.0007 0.0007 -0.0422 -0.0549 -25.4373 -0.4842 -0.4523 -100.6981 31.3134 10.5379
8.2400 13766.1921 -24.2543 9155.9255 4.2262 0.0156 0.0032 -103.5526 -0.0338 -0.0284 0.0007 0.0006 -0.0473 -0.0537 -25.4297 -0.4381 -0.3962 -100.6684 29.0613 15.5819
8.2417 13768.0625 -24.2603 9155.5188 4.0536 0.0156 0.0032 -103.5950 -0.0345 -0.0290 0.0006 0.0005 -0.0520 -0.0516 -25.4222 -0.3868 -0.3418 -100.6391 25.9660 20.1746
8.2433 13769.9325 -24.2662 9155.1120 3.8809 0.0156 0.0033 -103.6374 -0.0351 -0.0295 0.0005 0.0004 -0.0561 -0.0488 -25.4146 -0.3310 -0.2899 -100.6103 22.1173 24.1773
8.2450 13771.8023 -24.2722 9154.7052 3.7081 0.0156 0.0034 -103.6797 -0.0356 -0.0300 0.0004 0.0004 -0.0595 -0.0453 -25.4071 -0.2712 -0.2413 -100.5819 17.6273 27.4690
8.2467 13773.6718 -24.2782 9154.2982 3.5353 0.0156 0.0035 -103.7221 -0.0360 -0.0303 0.0003 0.0003 -0.0621 -0.0413 -25.3996 -0.2083 -0.1965 -100.5539 12.6277 29.9494
8.2483 13775.5411 -24.2841 9153.8911 3.3624 0.0157 0.0035 -103.7644 -0.0363 -0.0306 0.0002 0.0002 -0.0637 -0.0370 -25.3922 -0.1432 -0.1561 -100.5263 7.2655 31.5421
8.2500 13777.4100 -24.2901 9153.4840 3.1894 0.0157 0.0036 -103.8067 -0.0364 -0.0308 0.0001 0.0002 -0.0645 -0.0323 -25.3848 -0.0768 -0.1203 -100.4991 1.6987 32.1974
8.2517 13779.2787 -24.2960 9153.0767 3.0164 0.0158 0.0036 -103.8490 -0.0365 -0.0310 -0.0000 0.0001 -0.0643 -0.0276 -25.3774 -0.0100 -0.0893 -100.4721 -3.9081 31.8930
8.2533 13781.1471 -24.3020 9152.6694 2.8432 0.0159 0.0037 -103.8913 -0.0365 -0.0311 -0.0001 0.0001 -0.0632 -0.0230 -25.3700 0.0561 -0.0632 -100.4455 -9.3890 30.6355
8.2550 13783.0153 -24.3080 9152.2620 2.6701 0.0160 0.0037 -103.9336 -0.0363 -0.0312 -0.0002 0.0000 -0.0611 -0.0185 -25.3627 0.1206 -0.0419 -100.4190 -14.5814 28.4602
8.2567 13784.8831 -24.3139 9151.8544 2.4968 0.0160 0.0037 -103.9758 -0.0361 -0.0313 -0.0003 0.0000 -0.0582 -0.0144 -25.3554 0.1826 -0.0249 -100.3926 -19.3311 25.4295
8.2583 13786.7507 -24.3199 9151.4468 2.3235 0.0161 0.0037 -104.0181 -0.0357 -0.0313 -0.0004 -0.0000 -0.0546 -0.0108 -25.3481 0.2413 -0.0119 -100.3663 -23.4967 21.6320
8.2600 13788.6180 -24.3259 9151.0391 2.1501 0.0162 0.0037 -104.0603 -0.0353 -0.0313 -0.0005 -0.0000 -0.0502 -0.0078 -25.3408 0.2958 -0.0024 -100.3399 -26.9543 17.1792
8.2617 13790.4850 -24.3318 9150.6313 1.9766 0.0163 0.0037 -104.1026 -0.0347 -0.0313 -0.0006 -0.0000 -0.0454 -0.0055 -25.3335 0.3455 0.0044 -100.3134 -29.6009 12.2025
8.2633 13792.3517 -24.3378 9150.2234 1.8031 0.0163 0.0036 -104.1448 -0.0341 -0.0313 -0.0007 -0.0001 -0.0401 -0.0040 -25.3261 0.3901 0.0092 -100.2868 -31.3574 6.8497
8.2650 13794.2182 -24.3437 9149.8154 1.6295 0.0164 0.0036 -104.1870 -0.0334 -0.0313 -0.0007 -0.0001 -0.0345 -0.0032 -25.3188 0.4290 0.0128 -100.2599 -32.1718 1.2796
8.2667 13796.0844 -24.3497 9149.4073 1.4558 0.0164 0.0035 -104.2292 -0.0327 -0.0313 -0.0008 -0.0001 -0.0289 -0.0033 -25.3115 0.4622 0.0161 -100.2327 -32.0200 -4.3416
8.2683 13797.9503 -24.3557 9148.9992 1.2820 0.0165 0.0035 -104.2714 -0.0319 -0.0312 -0.0008 -0.0001 -0.0233 -0.0043 -25.3041 0.4895 0.0199 -100.2052 -30.9068 -9.8461
8.2700 13799.8159 -24.3616 9148.5909 1.1082 0.0165 0.0034 -104.3135 -0.0311 -0.0312 -0.0009 -0.0001 -0.0179 -0.0060 -25.2968 0.5112 0.0251 -100.1775 -28.8665 -15.0691
8.2717 13801.6813 -24.3676 9148.1825 0.9343 0.0165 0.0033 -104.3557 -0.0302 -0.0312 -0.0009 -0.0001 -0.0129 -0.0085 -25.2894 0.5275 0.0325 -100.1493 -25.9608 -19.8541
8.2733 13803.5464 -24.3736 9147.7740 0.7603 0.0165 0.0033 -104.3978 -0.0293 -0.0311 -0.0009 -0.0001 -0.0083 -0.0116 -25.2820 0.5388 0.0429 -100.1208 -22.2781 -24.0573
8.2750 13805.4112 -24.3795 9147.3655 0.5863 0.0165 0.0032 -104.4400 -0.0284 -0.0310 -0.0009 -0.0001 -0.0043 -0.0154 -25.2745 0.5457 0.0568 -100.0920 -17.9301 -27.5522
8.2767 13807.2757 -24.3855 9146.9568 0.4122 0.0165 0.0031 -104.4821 -0.0275 -0.0309 -0.0009 -0.0002 -0.0011 -0.0195 -25.2671 0.5489 0.0747 -100.0628 -13.0492 -30.2336
8.2783 13809.1400 -24.3914 9146.5481 0.2380 0.0165 0.0030 -104.5242 -0.0266 -0.0308 -0.0009 -0.0002 0.0014 -0.0240 -25.2597 0.5491 0.0972 -100.0334 -7.7837 -32.0204
8.2800 13811.0039 -24.3974 9146.1392 0.0638 0.0164 0.0030 -104.5663 -0.0256 -0.0306 -0.0009 -0.0002 0.0031 -0.0286 -25.2523 0.5472 0.1243 -100.0036 -2.2943 -32.8586
8.2817 13812.8676 -24.4034 9145.7303 6.3937 0.0165 0.0030 -104.6084 -0.0247 -0.0303 -0.0010 -0.0002 0.0039 -0.0270 -25.2450 0.5818 0.1280 -99.9769 -3.7976 -32.7731
8.2833 13814.7310 -24.4093 9145.3212 6.2193 0.0165 0.0029 -104.6504 -0.0238 -0.0301 -0.0010 -0.0003 0.0050 -0.0316 -25.2376 0.5776 0.1583 -99.9471 1.7532 -32.8973
8.2850 13816.5942 -24.4153 9144.9121 6.0449 0.0164 0.0029 -104.6925 -0.0228 -0.0298 -0.0010 -0.0003 0.0052 -0.0361 -25.2302 0.5728 0.1934 -99.9171 7.2362 -32.0464
8.2867 13818.4571 -24.4213 9144.5029 5.8703 0.0164 0.0028 -104.7345 -0.0219 -0.0295 -0.0009 -0.0004 0.0046 -0.0404 -25.2229 0.5682 0.2330 -99.8869 12.4833 -30.2460
8.2883 13820.3197 -24.4272 9144.0935 5.6958 0.0163 0.0028 -104.7766 -0.0209 -0.0290 -0.0009 -0.0005 0.0032 -0.0442 -25.2156 0.5646 0.2767 -99.8566 17.3333 -27.5506
8.2900 13822.1820 -24.4332 9143.6841 5.5211 0.0163 0.0028 -104.8186 -0.0200 -0.0285 -0.0009 -0.0006 0.0010 -0.0475 -25.2083 0.5629 0.3242 -99.8262 21.6368 -24.0420
8.2917 13824.0440 -24.4392 9143.2746 5.3464 0.0162 0.0028 -104.8606 -0.0190 -0.0280 -0.0009 -0.0006 -0.0017 -0.0500 -25.2011 0.5637 0.3747 -99.7958 25.2609 -19.8268
8.2933 13825.9058 -24.4451 9142.8650 5.1716 0.0162 0.0028 -104.9026 -0.0181 -0.0273 -0.0009 -0.0007 -0.0050 -0.0519 -25.1939 0.5675 0.4275 -99.7655 28.0930 -15.0334
8.2950 13827.7673 -24.4511 9142.4553 4.9967 0.0161 0.0028 -104.9446 -0.0171 -0.0265 -0.0010 -0.0008 -0.0086 -0.0528 -25.1868 0.5750 0.4817 -99.7347 30.0445 -9.8081
8.2967 13829.6285 -24.4571 9142.0455 4.8217 0.0160 0.0028 -104.9865 -0.0162 -0.0257 -0.0010 -0.0009 -0.0124 -0.0528 -25.1797 0.5862 0.5365 -99.7028 31.0537 -4.3105
8.2983 13831.4894 -24.4631 9141.6356 4.6467 0.0160 0.0028 -105.0285 -0.0152 -0.0248 -0.0010 -0.0010 -0.0163 -0.0519 -25.1727 0.6015 0.5909 -99.6711 31.0874 1.2913
8.3000 13833.3501 -24.4691 9141.2256 4.4716 0.0160 0.0029 -105.0704 -0.0142 -0.0237 -0.0010 -0.0011 -0.0201 -0.0501 -25.1658 0.6208 0.6439 -99.6396 30.1424 6.8254
8.3017 13835.2105 -24.4751 9140.8156 4.2965 0.0159 0.0029 -105.1124 -0.0131 -0.0226 -0.0011 -0.0012 -0.0237 -0.0473 -25.1588 0.6439 0.6946 -99.6084 28.2452 12.1219
8.3033 13837.0706 -24.4811 9140.4054 4.1213 0.0159 0.0029 -105.1543 -0.0120 -0.0214 -0.0011 -0.0012 -0.0269 -0.0437 -25.1520 0.6705 0.7420 -99.5773 25.4518 17.0180
8.3050 13838.9304 -24.4871 9139.9952 3.9460 0.0159 0.0030 -105.1962 -0.0109 -0.0201 -0.0012 -0.0013 -0.0296 -0.0392 -25.1451 0.7002 0.7853 -99.5465 21.8459 21.3628
8.3067 13840.7900 -24.4931 9139.5848 3.7706 0.0159 0.0030 -105.2381 -0.0097 -0.0188 -0.0012 -0.0014 -0.0316 -0.0341 -25.1383 0.7322 0.8237 -99.5160 17.5361 25.0219
8.3083 13842.6493 -24.4991 9139.1744 3.5952 0.0159 0.0031 -105.2800 -0.0084 -0.0174 -0.0013 -0.0014 -0.0329 -0.0285 -25.1314 0.7660 0.8565 -99.4856 12.6529 27.8819
8.3100 13844.5083 -24.5051 9138.7639 3.4197 0.0159 0.0031 -105.3219 -0.0071 -0.0159 -0.0013 -0.0015 -0.0333 -0.0224 -25.1246 0.8007 0.8834 -99.4554 7.3450 29.8537
8.3117 13846.3670 -24.5111 9138.3533 3.2441 0.0159 0.0031 -105.3638 -0.0058 -0.0144 -0.0014 -0.0015 -0.0328 -0.0160 -25.1177 0.8354 0.9039 -99.4253 1.7742 30.8756
8.3133 13848.2255 -24.5170 9137.9426 3.0685 0.0159 0.0031 -105.4056 -0.0044 -0.0129 -0.0014 -0.0015 -0.0314 -0.0095 -25.1108 0.8691 0.9177 -99.3954 -3.8892 30.9148
8.3150 13850.0837 -24.5230 9137.5318 2.8928 0.0159 0.0032 -105.4475 -0.0029 -0.0114 -0.0015 -0.0015 -0.0291 -0.0031 -25.1038 0.9010 0.9250 -99.3656 -9.4714 29.9688
8.3167 13851.9416 -24.5290 9137.1209 2.7170 0.0159 0.0032 -105.4893 -0.0014 -0.0098 -0.0015 -0.0015 -0.0259 0.0031 -25.0968 0.9301 0.9258 -99.3357 -14.8009 28.0655
8.3183 13853.7992 -24.5350 9136.7100 2.5411 0.0159 0.0032 -105.5311 0.0002 -0.0083 -0.0016 -0.0015 -0.0219 0.0090 -25.0898 0.9555 0.9204 -99.3059 -19.7136 25.2626
8.3200 13855.6566 -24.5410 9136.2989 2.3652 0.0159 0.0032 -105.5729 0.0018 -0.0068 -0.0016 -0.0015 -0.0171 0.0143 -25.0827 0.9764 0.9092 -99.2761 -24.0579 21.6456
8.3217 13857.5137 -24.5469 9135.8877 2.1892 0.0159 0.0032 -105.6147 0.0035 -0.0053 -0.0016 -0.0015 -0.0117 0.0190 -25.0755 0.9922 0.8929 -99.2463 -27.6991 17.3253
8.3233 13859.3705 -24.5529 9135.4765 2.0132 0.0160 0.0032 -105.6565 0.0051 -0.0038 -0.0016 -0.0014 -0.0058 0.0230 -25.0683 1.0020 0.8722 -99.2164 -30.5242 12.4346
8.3250 13861.2271 -24.5589 9135.0651 1.8370 0.0160 0.0032 -105.6983 0.0068 -0.0024 -0.0016 -0.0014 0.0006 0.0261 -25.0610 1.0056 0.8479 -99.1866 -32.4452 7.1245
8.3267 13863.0833 -24.5648 9134.6537 1.6608 0.0160 0.0032 -105.7401 0.0085 -0.0010 -0.0016 -0.0013 0.0071 0.0283 -25.0537 1.0027 0.8207 -99.1568 -33.4016 1.5591
8.3283 13864.9393 -24.5708 9134.2422 1.4846 0.0160 0.0033 -105.7818 0.0102 0.0004 -0.0016 -0.0013 0.0137 0.0296 -25.0464 0.9929 0.7918 -99.1270 -33.3628 -4.0891
8.3300 13866.7950 -24.5767 9133.8305 1.3082 0.0160 0.0033 -105.8235 0.0118 0.0017 -0.0016 -0.0012 0.0203 0.0300 -25.0390 0.9765 0.7620 -99.0972 -32.3288 -9.6446
8.3317 13868.6505 -24.5827 9133.4188 1.1318 0.0160 0.0033 -105.8653 0.0134 0.0029 -0.0015 -0.0012 0.0265 0.0295 -25.0316 0.9535 0.7322 -99.0676 -30.3305 -14.9345
8.3333 13870.5057 -24.5886 9133.0069 0.9554 0.0160 0.0033 -105.9070 0.0150 0.0041 -0.0015 -0.0011 0.0323 0.0282 -25.0242 0.9243 0.7033 -99.0381 -27.4288 -19.7936
8.3350 13872.3606 -24.5946 9132.5950 0.7788 0.0160 0.0033 -105.9487 0.0165 0.0053 -0.0014 -0.0011 0.0376 0.0261 -25.0168 0.8894 0.6763 -99.0087 -23.7125 -24.0699
8.3367 13874.2152 -24.6005 9132.1830 0.6022 0.0160 0.0034 -105.9904 0.0179 0.0064 -0.0014 -0.0011 0.0422 0.0233 -25.0095 0.8495 0.6516 -98.9795 -19.2961 -27.6289
8.3383 13876.0695 -24.6065 9131.7709 0.4255 0.0160 0.0034 -106.0320 0.0193 0.0074 -0.0013 -0.0010 0.0460 0.0200 -25.0021 0.8053 0.6301 -98.9505 -14.3160 -30.3584
8.3400 13877.9236 -24.6124 9131.3586 0.2488 0.0160 0.0034 -106.0737 0.0206 0.0085 -0.0012 -0.0010 0.0489 0.0163 -24.9948 0.7576 0.6122 -98.9217 -8.9262 -32.1716
8.3417 13879.7774 -24.6184 9130.9463 0.0719 0.0161 0.0034 -106.1154 0.0218 0.0095 -0.0011 -0.0010 0.0508 0.0124 -24.9876 0.7074 0.5981 -98.8931 -3.2939 -33.0102
8.3433 13881.6310 -24.6243 9130.5339 6.3882 0.0160 0.0035 -106.1570 0.0230 0.0105 -0.0011 -0.0009 0.0519 0.0142 -24.9804 0.6930 0.5603 -98.8625 -4.2884 -32.8960
8.3450 13883.4842 -24.6303 9130.1214 6.2112 0.0161 0.0035 -106.1986 0.0241 0.0114 -0.0010 -0.0009 0.0530 0.0101 -24.9732 0.6402 0.5484 -98.8341 1.4167 -32.9179
8.3467 13885.3372 -24.6362 9129.7088 6.0342 0.0161 0.0035 -106.2402 0.0251 0.0123 -0.0009 -0.0009 0.0532 0.0061 -24.9660 0.5867 0.5406 -98.8058 7.0448 -31.9363
8.3483 13887.1899 -24.6422 9129.2960 5.8571 0.0162 0.0035 -106.2819 0.0261 0.0132 -0.0008 -0.0009 0.0524 0.0023 -24.9589 0.5335 0.5369 -98.7776 12.4205 -29.9797
8.3500 13889.0424 -24.6482 9128.8832 5.6799 0.0162 0.0035 -106.3234 0.0269 0.0141 -0.0008 -0.0009 0.0507 -0.0012 -24.9519 0.4815 0.5369 -98.7495 17.3758 -27.1073
8.3517 13890.8945 -24.6541 9128.4703 5.5026 0.0163 0.0035 -106.3650 0.0277 0.0150 -0.0007 -0.0009 0.0482 -0.0041 -24.9449 0.4316 0.5401 -98.7215 21.7559 -23.4069
8.3533 13892.7464 -24.6601 9128.0574 5.3253 0.0163 0.0035 -106.4066 0.0283 0.0159 -0.0006 -0.0009 0.0450 -0.0065 -24.9379 0.3846 0.5461 -98.6934 25.4235 -18.9924
8.3550 13894.5981 -24.6661 9127.6443 5.1480 0.0164 0.0034 -106.4481 0.0289 0.0168 -0.0005 -0.0009 0.0412 -0.0080 -24.9310 0.3411 0.5540 -98.6652 28.2638 -14.0005
8.3567 13896.4494 -24.6721 9127.2311 4.9705 0.0164 0.0034 -106.4897 0.0295 0.0177 -0.0005 -0.0009 0.0370 -0.0088 -24.9242 0.3016 0.5632 -98.6369 30.1875 -8.5860
8.3583 13898.3005 -24.6781 9126.8178 4.7930 0.0165 0.0034 -106.5312 0.0299 0.0187 -0.0004 -0.0009 0.0325 -0.0087 -24.9173 0.2666 0.5727 -98.6085 31.1340 -2.9174
8.3600 13900.1513 -24.6840 9126.4045 4.6154 0.0165 0.0033 -106.5728 0.0304 0.0196 -0.0004 -0.0009 0.0279 -0.0077 -24.9105 0.2362 0.5816 -98.5798 31.0735 2.8286
8.3617 13902.0018 -24.6900 9125.9910 4.4377 0.0165 0.0033 -106.6143 0.0307 0.0206 -0.0003 -0.0009 0.0233 -0.0058 -24.9037 0.2105 0.5891 -98.5509 30.0078 8.4724
8.3633 13903.8521 -24.6960 9125.5775 4.2600 0.0165 0.0032 -106.6558 0.0311 0.0216 -0.0003 -0.0010 0.0189 -0.0030 -24.8969 0.1894 0.5942 -98.5217 27.9704 13.8374
8.3650 13905.7021 -24.7020 9125.1639 4.0822 0.0165 0.0031 -106.6973 0.0314 0.0226 -0.0002 -0.0010 0.0149 0.0006 -24.8901 0.1725 0.5960 -98.4923 25.0257 18.7555
8.3667 13907.5518 -24.7080 9124.7501 3.9044 0.0165 0.0031 -106.7387 0.0316 0.0236 -0.0002 -0.0009 0.0113 0.0049 -24.8833 0.1594 0.5939 -98.4625 21.2667 23.0724
8.3683 13909.4012 -24.7140 9124.3363 3.7264 0.0165 0.0030 -106.7802 0.0319 0.0246 -0.0002 -0.0009 0.0085 0.0098 -24.8765 0.1496 0.5871 -98.4324 16.8122 26.6524
8.3700 13911.2504 -24.7200 9123.9224 3.5484 0.0165 0.0029 -106.8217 0.0321 0.0255 -0.0002 -0.0009 0.0063 0.0152 -24.8696 0.1424 0.5750 -98.4020 11.8037 29.3829
8.3717 13913.0993 -24.7260 9123.5084 3.3703 0.0164 0.0029 -106.8631 0.0324 0.0265 -0.0002 -0.0009 0.0049 0.0209 -24.8627 0.1370 0.5574 -98.3713 6.4001 31.1779
8.3733 13914.9479 -24.7319 9123.0943 3.1922 0.0164 0.0028 -106.9045 0.0326 0.0274 -0.0002 -0.0008 0.0045 0.0267 -24.8558 0.1325 0.5338 -98.3403 0.7733 31.9810
8.3750 13916.7963 -24.7379 9122.6802 3.0140 0.0163 0.0028 -106.9460 0.0328 0.0283 -0.0002 -0.0008 0.0049 0.0326 -24.8489 0.1280 0.5043 -98.3090 -4.8973 31.7669
8.3767 13918.6444 -24.7439 9122.2659 2.8357 0.0163 0.0028 -106.9874 0.0330 0.0291 -0.0002 -0.0007 0.0061 0.0383 -24.8419 0.1227 0.4689 -98.2775 -10.4308 30.5427
8.3783 13920.4922 -24.7499 9121.8515 2.6574 0.0162 0.0027 -107.0288 0.0332 0.0298 -0.0002 -0.0007 0.0083 0.0436 -24.8350 0.1156 0.4279 -98.2459 -15.6498 28.3474
8.3800 13922.3397 -24.7559 9121.4370 2.4790 0.0161 0.0027 -107.0701 0.0334 0.0305 -0.0001 -0.0006 0.0112 0.0485 -24.8280 0.1060 0.3818 -98.2141 -20.3870 25.2511
8.3817 13924.1870 -24.7618 9121.0225 2.3005 0.0161 0.0027 -107.1115 0.0336 0.0311 -0.0001 -0.0005 0.0148 0.0527 -24.8210 0.0931 0.3310 -98.1823 -24.4899 21.3523
8.3833 13926.0340 -24.7678 9120.6078 2.1219 0.0160 0.0027 -107.1529 0.0337 0.0316 -0.0001 -0.0004 0.0189 0.0561 -24.8140 0.0762 0.2762 -98.1506 -27.8257 16.7756
8.3850 13927.8807 -24.7738 9120.1931 1.9433 0.0159 0.0028 -107.1942 0.0338 0.0320 -0.0000 -0.0003 0.0236 0.0587 -24.8071 0.0549 0.2184 -98.1189 -30.2859 11.6672
8.3867 13929.7272 -24.7798 9119.7782 1.7646 0.0158 0.0028 -107.2356 0.0339 0.0323 -0.0000 -0.0002 0.0284 0.0603 -24.8001 0.0287 0.1585 -98.0875 -31.7896 6.1905
8.3883 13931.5734 -24.7857 9119.3633 1.5858 0.0158 0.0028 -107.2769 0.0339 0.0326 0.0000 -0.0001 0.0335 0.0610 -24.7932 -0.0025 0.0973 -98.0562 -32.2862 0.5210
8.3900 13933.4193 -24.7917 9118.9483 1.4070 0.0157 0.0029 -107.3182 0.0339 0.0327 0.0001 -0.0000 0.0384 0.0606 -24.7863 -0.0387 0.0359 -98.0253 -31.7572 -5.1594
8.3917 13935.2649 -24.7977 9118.5331 1.2281 0.0157 0.0030 -107.3595 0.0338 0.0327 0.0002 0.0001 0.0432 0.0593 -24.7794 -0.0799 -0.0246 -97.9948 -30.2166 -10.6680
8.3933 13937.1103 -24.8037 9118.1179 1.0492 0.0157 0.0030 -107.4008 0.0336 0.0326 0.0002 0.0002 0.0476 0.0570 -24.7725 -0.1258 -0.0833 -97.9647 -27.7110 -15.8274
8.3950 13938.9554 -24.8097 9117.7026 0.8701 0.0157 0.0031 -107.4421 0.0334 0.0324 0.0003 0.0003 0.0514 0.0538 -24.7657 -0.1758 -0.1393 -97.9350 -24.3178 -20.4709
8.3967 13940.8003 -24.8156 9117.2872 0.6910 0.0157 0.0032 -107.4834 0.0330 0.0321 0.0004 0.0004 0.0546 0.0499 -24.7589 -0.2294 -0.1918 -97.9058 -20.1428 -24.4480
8.3983 13942.6448 -24.8216 9116.8717 0.5118 0.0157 0.0033 -107.5246 0.0326 0.0318 0.0005 0.0004 0.0570 0.0453 -24.7522 -0.2859 -0.2399 -97.8770 -15.3172 -27.6295
8.4000 13944.4891 -24.8276 9116.4561 0.3326 0.0157 0.0033 -107.5659 0.0321 0.0313 0.0006 0.0005 0.0585 0.0401 -24.7454 -0.3443 -0.2831 -97.8486 -9.9933 -29.9112
8.4017 13946.3331 -24.8336 9116.0404 0.1533 0.0157 0.0034 -107.6071 0.0315 0.0308 0.0007 0.0006 0.0590 0.0346 -24.7387 -0.4038 -0.3210 -97.8207 -4.3397 -31.2176
8.4033 13948.1769 -24.8396 9115.6247 6.3093 0.0158 0.0035 -107.6483 0.0307 0.0302 0.0008 0.0006 0.0585 0.0304 -24.7319 -0.4634 -0.3533 -97.7930 -0.2137 -31.5046
8.4050 13950.0204 -24.8456 9115.2088 6.1298 0.0158 0.0035 -107.6895 0.0299 0.0296 0.0009 0.0007 0.0573 0.0247 -24.7252 -0.5222 -0.3813 -97.7655 5.5853 -31.0599
8.4067 13951.8636 -24.8515 9114.7928 5.9503 0.0159 0.0035 -107.7308 0.0290 0.0290 0.0010 0.0007 0.0551 0.0191 -24.7185 -0.5793 -0.4037 -97.7382 11.2190 -29.5958
8.4083 13953.7065 -24.8575 9114.3768 5.7707 0.0160 0.0036 -107.7719 0.0280 0.0283 0.0011 0.0007 0.0519 0.0137 -24.7117 -0.6337 -0.4205 -97.7111 16.5075 -27.1572
8.4100 13955.5492 -24.8635 9113.9606 5.5911 0.0160 0.0036 -107.8131 0.0269 0.0276 0.0012 0.0008 0.0479 0.0088 -24.7049 -0.6845 -0.4321 -97.6840 21.2818 -23.8204
8.4117 13957.3916 -24.8695 9113.5444 5.4113 0.0161 0.0036 -107.8543 0.0257 0.0268 0.0012 0.0008 0.0431 0.0044 -24.6981 -0.7309 -0.4391 -97.6570 25.3889 -19.6907
8.4133 13959.2337 -24.8755 9113.1281 5.2316 0.0161 0.0036 -107.8955 0.0244 0.0261 0.0013 0.0008 0.0376 0.0008 -24.6913 -0.7721 -0.4420 -97.6298 28.6971 -14.8994
8.4150 13961.0756 -24.8814 9112.7117 5.0517 0.0162 0.0036 -107.9366 0.0231 0.0254 0.0014 0.0008 0.0316 -0.0021 -24.6844 -0.8076 -0.4416 -97.6026 31.1003 -9.5992
8.4167 13962.9172 -24.8874 9112.2951 4.8718 0.0163 0.0035 -107.9777 0.0218 0.0246 0.0014 0.0008 0.0253 -0.0041 -24.6775 -0.8369 -0.4388 -97.5752 32.5210 -3.9598
8.4183 13964.7585 -24.8934 9111.8785 4.6918 0.0163 0.0035 -108.0189 0.0203 0.0239 0.0015 0.0008 0.0187 -0.0051 -24.6706 -0.8597 -0.4345 -97.5476 32.9137 1.8378
8.4200 13966.5996 -24.8993 9111.4618 4.5117 0.0163 0.0035 -108.0600 0.0189 0.0232 0.0015 0.0007 0.0122 -0.0053 -24.6636 -0.8760 -0.4295 -97.5198 32.2658 7.6074
8.4217 13968.4403 -24.9053 9111.0450 4.3316 0.0164 0.0034 -108.1011 0.0174 0.0225 0.0015 0.0007 0.0058 -0.0045 -24.6566 -0.8857 -0.4249 -97.4918 30.5983 13.1629
8.4233 13970.2808 -24.9112 9110.6281 4.1514 0.0164 0.0034 -108.1422 0.0159 0.0218 0.0015 0.0007 -0.0002 -0.0029 -24.6495 -0.8893 -0.4214 -97.4636 27.9652 18.3250
8.4250 13972.1211 -24.9172 9110.2111 3.9711 0.0164 0.0033 -108.1832 0.0145 0.0211 0.0015 0.0007 -0.0058 -0.0005 -24.6424 -0.8870 -0.4200 -97.4352 24.4519 22.9266
