tof posE posN posU tgtE tgtN tgtU normComm normAch sideComm sideAch p q r phi alpha beta fin1c fin2c fin3c fin4c fin1d fin2d fin3d fin4d
0.21600000000000014 104.12021017815904 100.72650422059907 4.963274663017778 3000.0 3000.0 3000.0 -0.005096897289380647 -0.7140955761512154 0.0973895383428337 1.1094596292911764e-17 -1.1584722243161004e-18 -0.004015667663018002 1.1389467982984315e-18 3.863989704780029e-20 0.022625712096792486 -2.728398442788156e-17 -0.0006048279949014371 -0.0006048279949014375 -0.0006048279949014369 -0.0006048279949014373 -0.0005115284337393555 -0.0005115284337393559 -0.0005115284337393557 -0.000511528433739356
0.22400000000000014 104.49539047854992 100.79265863018828 5.327256068338691 3000.0 3000.0 3000.0 -0.005657473926916121 -0.717136087821909 0.1070658666434505 1.520500920011722e-17 -9.544901969320188e-20 -0.004545123789433599 1.555533316695787e-18 3.847930498374462e-20 0.02241261166470503 -2.4693420969221303e-17 -0.0006609145076893932 -0.0006609145076893936 -0.000660914507689393 -0.0006609145076893934 -0.0005581944498108973 -0.0005581944498108977 -0.0005581944498108968 -0.0005581944498108971
0.23200000000000015 104.88783586382971 100.86185734006764 5.708125179607482 3000.0 3000.0 3000.0 -0.006246051314499146 -0.7207111118344331 0.1172021226973211 1.1524422170476404e-17 8.797558262099563e-19 -0.0051144515185003415 1.963427051973009e-18 5.015348243047164e-20 0.02221588813717093 -1.3153788702052942e-17 -0.0007188004216838808 -0.0007188004216838814 -0.000718800421683881 -0.0007188004216838816 -0.0006131430493389227 -0.0006131430493389232 -0.0006131430493389224 -0.0006131430493389228
0.24000000000000016 105.29754768239415 100.93410058799569 6.1058790812864325 3000.0 3000.0 3000.0 -0.006862308614538388 -0.7248623255994898 0.12779863079102466 -1.5985368398345317e-18 1.1818716776350507e-18 -0.005723964785567761 2.207347976562858e-18 7.288931736645156e-20 0.02203349022875693 -1.636726841304572e-17 -0.0007784296730208538 -0.0007784296730208544 -0.0007784296730208548 -0.0007784296730208555 -0.0006758909920134355 -0.0006758909920134361 -0.0006758909920134358 -0.0006758909920134363
0.24800000000000016 105.72452756864658 101.00938866216183 6.520514490178352 3000.0 3000.0 3000.0 -0.007505876102938574 -0.7296270289527631 0.13885573283358008 4.2321835620249794e-19 1.3173043388914857e-18 -0.0063743351641029865 2.526567886245216e-18 9.998977614316328e-20 0.021863684451170134 -1.2265281775331248e-17 -0.0008396651385233641 -0.0008396651385233649 -0.0008396651385233658 -0.0008396651385233667 -0.0007393806284266598 -0.0007393806284266604 -0.0007393806284266605 -0.0007393806284266612
0.25600000000000017 106.16877746436022 101.08772190495306 6.95202773299831 3000.0 3000.0 3000.0 -0.008176333568361222 -0.7350453775981365 0.15037378847867905 -6.2296377714335534e-18 1.0356011984761842e-18 -0.007066646877827709 2.7920113031331536e-18 1.307224049600215e-19 0.021704995000328707 -1.978930423028317e-17 -0.0009023641845707663 -0.0009023641845707674 -0.0009023641845707683 -0.0009023641845707694 -0.0007979402996637911 -0.0007979402996637918 -0.0007979402996637922 -0.0007979402996637929
0.2640000000000002 106.63029964128933 101.16910071694096 7.400414722591457 3000.0 3000.0 3000.0 -0.008873206873404167 -0.7411655633162253 0.16235317531258237 1.3979289640470528e-18 7.285031610372049e-19 -0.007801847989191578 3.224565944964746e-18 1.6131899819226318e-19 0.021556160575838007 -2.3383544267173497e-17 -0.0009664601613506498 -0.0009664601613506509 -0.000966460161350652 -0.000966460161350653 -0.0008533574123939716 -0.0008533574123939725 -0.0008533574123939731 -0.0008533574123939741
0.2720000000000002 107.1090967273322 101.25352556149491 7.8656709304306265 3000.0 3000.0 3000.0 -0.009595961972310498 -0.748039843856479 0.17479428911418418 3.580734629107509e-18 1.683975675750187e-19 -0.008580188436882569 3.757099498662195e-18 1.9291103285308675e-19 0.021416100480470573 -1.3007022911026962e-17 -0.0010319564376057987 -0.0010319564376058 -0.0010319564376058009 -0.0010319564376058022 -0.0009125051307212308 -0.0009125051307212319 -0.0009125051307212329 -0.000912505130721234
0.2800000000000002 107.60517173459988 101.34099696973135 8.34779135713946 3000.0 3000.0 3000.0 -0.010343998901534396 -0.7557147794321074 0.18769754410100764 -1.498309254519067e-17 -1.213207167038217e-18 -0.009401318846722859 4.106905516054811e-18 2.242718651602424e-19 0.02128388375362392 -1.0637098906532135e-17 -0.0010988366788350894 -0.0010988366788350907 -0.0010988366788350916 -0.001098836678835093 -0.0009795094540091076 -0.0009795094540091089 -0.00097950945400911 -0.0009795094540091113
0.2880000000000002 108.1185280851455 101.43151554505057 8.846770505451484 3000.0 3000.0 3000.0 -0.011116648957444731 -0.7642268323828976 0.2010633730619219 -2.1546963268797133e-17 -2.8199199091493788e-18 -0.010265000953792843 4.4261886955058115e-18 2.473673967631663e-19 0.021158700761194388 -1.0595717607649427e-17 -0.0011669918147423337 -0.001166991814742335 -0.001166991814742336 -0.0011669918147423372 -0.0010512818480007955 -0.001051281848000797 -0.0010512818480007979 -0.0010512818480007992
