1 input_insertion.asc  Three-stage rocket ascent  ' SLV ' Nov 30 2022 22:11:34
  0  0 108
time            vmach           pdynmc          psibdx          thtbdx          
phibdx          alppx           phipx           alphax          betax           
ppx             qqx             rrx             lonx            latx            
alt             dvbe            dvbi            psivdx          thtvdx          
grndtrck        ayx             anx             gndtrnmx        vmass           
xcg             fmasse          thrust          fmassr          dead_zone       
roll_count      pitch_count     yaw_count       stmarg_yaw      stmarg_pitch    
realp1          wnp             zetp            realy1          wny             
zety            gnmax           gymax           alphacx         betacx          
phibdcx         thtbdcx         psibdcx         RICI1           RICI2           
RICI3           EVBI1           EVBI2           EVBI3           ESBI1           
ESBI2           ESBI3           ins_pos_err     ins_vel_err     ins_tilt_err    
UTBC1           UTBC2           UTBC3           lamd            dpd             
dbd             ddb             dvdb            thtvddbx        waclp           
zaclp           paclp           alcomx_actual   ancomx_actual   GAINFP1         
GAINFP2         GAINFP3         wacly           alcomx          ancomx          
wnact           delax           delex           delrx           modes           
ucbias_error    ucfreq_error    SXH1            SXH2            SXH3            
VXH1            VXH2            VXH3            CXH1            CXH2            
CXH3            std_pos         std_vel         std_ucbias      gps_pos_meas    
gps_vel_meas    state_pos       state_vel       URIC1           URIC2           
URIC3           etax            zetx            
1               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               
1.96049         0.017526        0               0               0               
0               0               0               0               0               
0               5.00697         0.2003          3.27585         0               
0               0               0               0               0               
0               0               0               
1.3             0.0761092       405.17          -82.7777        83.45           
0.22175         0               180             -1.99655        0.0716056       
-3.37547e-05    -3.62976        0.0522527       -120.49         34.68           
117.403         25.8845         381.728         -81.7801        85.4416         
0.800078        0               -0              0.000432008     48315.4         
10.4491         668.587         1.40763e+06     30506.4         0.4             
0               45              17              -2.51497        -2.51497        
0.147008        0               0               0.147008        0               
0               0.00326991      0.00326991      -1.79258        0.122816        
0               83.42           -82.8387        -6.88367e-05    -0.000244596    
-0.000485745    -0.0869518      0.0571552       0.0362884       -5.79163        
-0.850494       -2.58542        6.39928         0.110201        0.000548192     
0               0               0               0               0               
0               0               0               0               0               
1               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               
1.96199         -0.173563       0               0               0               
0               0               0               0               0               
0               5.00807         0.200325        3.31712         0               
0               0               0               0               0               
0               0               0               
1.4             0.0818094       467.984         -82.7453        83.1063         
0.253986        0               180             -1.95144        0.0685702       
-3.48907e-05    -3.2993         0.0522809       -120.49         34.68           
120.079         27.8209         381.524         -81.8503        85.053          
1.0229          0               -0              0.000552322     48264           
10.4429         719.997         1.40763e+06     30455           0.4             
0               49              17              -2.51184        -2.51184        
0.157997        0               0               0.157997        0               
0               0.00378387      0.00378387      -1.76747        0.116919        
0               83.0762         -82.803         -6.86979e-05    -0.000244081    
-0.000485935    -0.0860407      0.0556413       0.0367935       -5.80028        
-0.844854       -2.58177        6.40489         0.10887         0.000548114     
0               0               0               0               0               
0               0               0               0               0               
1               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               
1.95349         0.124859        0               0               0               
0               0               0               0               0               
0               5.00925         0.20035         3.36078         0               
0               0               0               0               0               
0               0               0               
1.5             0.0875209       535.427         -82.8171        82.7956         
0.182749        0               180             -1.89175        0.0780346       
-3.51083e-05    -3.01191        -0.0866509      -120.49         34.68           
122.946         29.7609         381.314         -81.9104        84.6828         
1.28078         0               -0              0.000691566     48212.6         
10.4367         771.407         1.40763e+06     30403.6         0.4             
0               52              19              -2.5087         -2.5087         
0.169004        0               0               0.169004        0               
0               0.00433723      0.00433723      -1.7252         0.123875        
0               82.7655         -82.8717        -6.85856e-05    -0.000243624    
-0.00048611     -0.0851379      0.0541226       0.0373027       -5.80884        
-0.839366       -2.57806        6.41043         0.10756         0.00054805      
0               0               0               0               0               
0               0               0               0               0               
1               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               
1.94911         -0.0497669      0               0               0               
0               0               0               0               0               
0               5.01051         0.200375        3.40674         0               
0               0               0               0               0               
0               0               0               
1.6             0.0932438       607.518         -82.8904        82.5145         
0.109961        0               180             -1.82029        0.0875121       
-3.51387e-05    -2.69806        -0.0866278      -120.49         34.68           
126.005         31.7047         381.098         -81.9698        84.3304         
1.57533         0               -0              0.00085061      48161.2         
10.4305         822.817         1.40763e+06     30352.2         0.4             
0               56              19              -2.50557        -2.50557        
0.180028        0               0               0.180028        0               
0               0.00493038      0.00493038      -1.66906        0.131141        
0               82.4844         -82.9425        -6.84791e-05    -0.000243211    
-0.00048627     -0.0842427      0.0525994       0.0378155       -5.81731        
-0.83403        -2.57431        6.4159          0.106271        0.000547996     
0               0               0               0               0               
0               0               0               0               0               
1               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               
1.93889         -0.015171       0               0               0               
0               0               0               0               0               
0               5.01185         0.2004          3.4549          0               
0               0               0               0               0               
0               0               0               
1.7             0.0989783       684.276         -82.9584        82.2598         
0.0426143       0               180             -1.73974        0.0961326       
-3.50679e-05    -2.38377        -0.0866069      -120.49         34.68           
