1 f16c11_7.asc 3 Waypoints and terminal glide slope to IP ' F16 Aircraft ' Nov 30 2022 21:43:09
  0  0 63
time            vmach           pdynmc          dvba            psiblx          
thtblx          phiblx          alppx           phipx           alphax          
betax           erq             etbl            ppx             qqx             
rrx             VBEB1           VBEB2           VBEB3           SBEL1           
SBEL2           SBEL3           VBEL1           VBEL2           VBEL3           
dvbe            hbe             psivlx          thtvlx          alx             
anx             ayx             throttle        thrust          idle            
mil             max             stmarg          dma             dmde            
gmax            gminx           realp1          realp2          wnp             
zetp            realy1          realy2          wny             zety            
nl_gain         dwbh            wp_flag         delacx          delecx          
delrcx          alcomx          ancomx          altcom          zetlagr         
delax           delex           delrx           
11.0215         180.432         -6.77082        29.2962         217.624         
3.74891         -996.733        182.211         15.6108         3.92337         
182.921         996.733         4.89681         -1.229          4.25968         
4.36438         0.249567        0.77            51780.1         -2874.64        
51907.4         97929           -0.0109263      0.937375        -13.2597        
6.21133         -1.93088        -0.23199        -2.18439        0               
0               0               0               3.47285         0.00271356      
0.39999         5182.46         1               -2.69263        -0.308147       
0               3.7431          4.02978         1000            0.7             
-2.37414        -0.779797       0               
1.3             0.543707        18606.5         182.929         16.4527         
-0.481923       70.6269         10.2459         -15.4997        9.88091         
-2.72456        -6.22187e-07    1.41421         2.20164         17.1901         
9.3958          180.02          -8.68313        31.3143         235.827         
5.52259         -996.351        181.807         19.8853         3.71014         
182.929         996.351         6.24195         -1.16214        4.41511         
4.50054         0.306408        0.77            51833.8         -2875.29        
51909.1         97933           -0.021782       1.87785         -13.4414        
6.21218         -1.93114        0.153823        -2.60004        0               
0               0               0               3.47309         0.00270323      
0.399989        5164.99         1               -3.67034        -0.361543       
0               3.51345         4.05172         1000            0.7             
-3.44113        -0.176468       0               
1.4             0.543626        18601.8         182.903         18.1988         
-0.750631       70.8025         10.6128         -17.1651        10.1502         
-3.11581        -4.05931e-07    1.41421         1.65426         14.1975         
7.07687         179.782         -9.92889        32.1446         253.981         
7.72702         -995.989        181.26          24.1991         3.54834         
182.903         995.989         7.6043          -1.11162        4.41009         
4.47761         0.340234        0.77            51866.4         -2873.67        
