-0.00130558     0.0760137       0.000219824     0.00108576      0.0773193       
0.00152541      -0.0747081      0               0               0               
0               120021          19894.9         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
79.6            0               0.712           0.113646        915.385         
-160            30.0058         -0.000901987    8.85561         -0.000785434    
8.85561         -0.000120914    -0.00264948     0.0174836       -6.14541e-05    
-14.2134        -5.17326        -6.26816        38.7389         6.26816         
-160            21.1537         0.0382179       6.9911e-07      292.88          
21362.4         2.8644          2.8288          418.64          -0.0644839      
-0.0581587      -3.34973        0               0               -6.55421        
0.197486        0.235666        0               -0.302875       -0.0232291      
-3.37831        -1.70077        19876.2         0               1               
0               0               0               0               0               
21.2374         -159.981        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
5.24337         0.0662735       0               0               0               
0.00309694      0.0712873       0.000149495     -0.00324643     0.0681903       
-0.00294744     -0.0743842      0               0               0               
0               120021          19876.1         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
79.7            0               0.812           0.135282        1296.86         
-160            30.0076         -0.00101832     8.44595         -0.000871203    
8.44595         -0.000127959    0.000485255     0.0187863       -6.86851e-05    
-17.9186        -6.52184        -7.81011        46.1105         7.81011         
-160            21.5661         0.0518868       9.49444e-07     291.88          
24362.9         2.8594          2.8188          415.64          -0.0605856      
-0.0694646      -4.06979        0               0               -8.04553        
0.288948        0.340789        0               -0.29818        -0.0292593      
-4.10357        -2.06641        19856.7         0               1               
0               0               0               0               0               
21.6332         -159.983        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
6.43642         0.0782965       0               0               0               
0.00220035      0.0642209       0.000100278     -0.00230063     0.0620206       
-0.00210007     -0.0664213      0               0               0               
0               120021          19856.7         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
79.8            0               0.912           0.159995        1813.56         
-160            30.0095         -0.000813393    7.97622         -0.00063227     
7.97622         -8.7735e-05     0.00345543      0.0202494       -7.51135e-05    
-22.3011        -8.11694        -9.67605        54.5289         9.67605         
-160            22.0381         0.0688695       9.109e-07       290.88          
27363.6         2.8544          2.8088          412.64          -0.0528106      
-0.0828644      -4.92053        0               0               -9.84161        
0.418638        0.48745         0               -0.295221       -0.0362882      
-4.96114        -2.49872        19836.5         0               1               
0               0               0               0               0               
22.0921         -159.984        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
7.87329         0.0916809       0               0               0               
-0.00347859     0.0582954       6.58524e-05     0.00341274      0.061774        
0.00354444      -0.0548168      0               0               0               
0               120021          19836.5         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
79.9            0               1.012           0.187796        2497.89         
-160            30.0117         -0.000788642    7.49017         -0.000567432    
7.49017         -7.39682e-05    -0.00289588     0.0232852       -8.07497e-05    
-27.4465        -9.9897         -11.9205        63.9961         11.9205         
-160            22.5262         0.0895599       1.01754e-06     289.88          
30021.2         2.8494          2.7988          409.64          -0.0404522      
-0.0987756      -5.91324        0               0               -11.9801        
0.598601        0.688075        0               -0.294632       -0.0441885      
-5.96297        -3.00358        19815.5         0               1               
0               0               0               0               0               
22.57           -159.985        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
9.5841          0.106423        0               0               0               
-0.00184843     0.0567657       4.21218e-05     0.00180631      0.0586142       
0.00189055      -0.0549173      0               0               0               
0               120021          19815.4         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
80              0               1.112           0.216984        3333.65         
-160            30.0143         -0.000865866    7.06758         -0.00060017     
7.06758         -7.38449e-05    0.00367545      0.0293174       -8.42938e-05    
-33.4219        -12.1646        -14.5872        73.926          14.5872         
-160            22.9505         0.113435        1.2993e-06      288.88          
30161.4         2.8444          2.7888          406.64          -0.0246333      
-0.116607       -6.99868        0               0               -14.3624        
0.828401        0.941684        0               -0.296059       -0.0524692      
-7.05953        -3.556          19793.5         0               1               
0               0               0               0               0               
22.9872         -159.986        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
11.49           0.1218          0               0               0               
0.00188361      0.0615299       2.85943e-05     -0.00191221     0.0596463       
-0.00185502     -0.0634135      0               0               0               
0               120021          19793.4         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
80.1            0               1.212           0.246421        4297.95         
-160            30.0176         -0.000918305    6.72267         -0.000606199    
6.72267         -7.09639e-05    -0.00209911     0.0383139       -8.69826e-05    
-40.2421        -14.6469        -17.6879        83.9395         17.6879         
-160            23.2981         0.139951        1.57322e-06     287.88          
30301.8         2.8394          2.7788          403.64          -0.024734       
-0.132817       -8.14516        0               0               -16.9096        
1.10499         1.24466         0               -0.298682       -0.060869       
-8.21396        -4.13741        19770.5         0               1               
0               0               0               0               0               
23.3294         -159.987        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
13.5277         0.138614        0               0               0               
0.00279747      0.0705907       2.00455e-05     -0.00281752     0.0677932       
-0.00277743     -0.0733881      0               0               0               
0               120021          19770.4         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
80.2            0               1.312           0.276104        5393.46         
-160            30.022          -0.000780006    6.43042         -0.000424891    
6.43042         -4.75863e-05    -0.00390619     0.0497255       -8.87146e-05    
-47.9128        -17.4388        -21.2292        94.0353         21.2292         
-160            23.5943         0.169032        1.34696e-06     286.88          
30442.3         2.8344          2.7688          400.64          -0.0287764      
-0.148561       -9.35226        0               0               -19.6258        
1.43227         1.60084         0               -0.302114       -0.069398       
-9.42806        -4.74873        19746.6         0               1               
0               0               0               0               0               
23.6212         -159.987        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
15.7006         0.155981        0               0               0               
-0.00205021     0.0816335       1.49281e-05     0.00203528      0.0836837       
0.00206514      -0.0795833      0               0               0               
0               120021          19746.5         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
80.3            0               1.412           0.306028        6622.78         
-160            30.0276         -0.000716811    6.17528         -0.000321243    
6.17528         -3.45562e-05    0.000287916     0.0629179       -8.95613e-05    
-56.4393        -20.5422        -25.2178        104.212         25.2178         
-160            23.8547         0.200583        1.22389e-06     285.88          
30583           2.8294          2.7588          397.64          -0.0329198      
-0.164385       -10.6209        0               0               -22.5153        
1.81431         2.01419         0               -0.306114       -0.0780652      
-10.7037        -5.39087        19721.7         0               1               
