1 input19_3_3.asc: Ascent frome Cape, glidelsope and seeker intercept ' Hypersonic Vehicle ' Nov 30 2022 22:00:56
  0  0 96
time            vmach           pdynmc          psibd           psibdx          
thtbdx          phibdx          alppx           alphax          betax           
alphaix         betaix          ppx             qqx             rrx             
lonx            latx            alt             dvbe            dvbi            
psivdx          thtvdx          dbi             ayx             anx             
throttle        vmass           fmassr          thrustx         roll_count      
pitch_count     yaw_count       stmarg          gavail_pos      gmax            
gavail_neg      gminx           wnp             azabx           elabx           
dab             ddab            semi_major      semi_minor      eaz             
eel             edab            eddab           RICI1           RICI2           
RICI3           ESBI1           ESBI2           ESBI3           aycomx          
azcomx          tgoc            SBTHC1          SBTHC2          SBTHC3          
UTBC1           UTBC2           UTBC3           lamd            SBTL1           
SBTL2           SBTL3           delacx          delecx          delrcx          
alcomx          ancomx          phicomx         delax           delex           
delrx           miss            MISS_I1         MISS_I2         MISS_I3         
event           dbt             MISS_H1         MISS_H2         MISS_H3         
MISS_L1         MISS_L2         MISS_L3         SXH1            SXH2            
SXH3            std_pos         std_ucbias      URIC1           URIC2           
URIC3           
0               0               0.0242657       4.08533         3               
0.0616622       -1.02367        1.49968         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -20             -20             -20             
0               0               0.0291379       -11             -11             
-16.5416        0               0               0               0               
424002          5.49481e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
3               0.761005        28532.4         0.662389        37.9521         
-9.39286        -1.99052        1.70905         2.63892         2.78719         
-2.07023        33.7971         -62.9684        7.9952          -8.87916        
-75.5788        30.1897         2970.18         250.591         594.921         
40.8445         -11.9286        6.37576e+06     -1.6512         0.412723        
2               135638          81207           6559.86         0               
0               0               0.0164275       2.60861         3               
-2.0081         -1.61671        1.79947         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               20              -20             -20             
0               0               0.0405347       9.99751         -10.0025        
-20             0               0               0               0               
424002          5.48818e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
4               0.892786        39538.7         0.646232        37.0263         
-4.82228        2.10102         4.79747         5.37997         1.7544          
-0.496539       31.6776         -0.944494       2.27384         2.66285         
-75.577         30.1916         2916.37         294.051         627.575         
38.6031         -10.2298        6.37571e+06     -0.0720763      2.11231         
2               135477          81046.5         6435.98         0               
0               0               0.0123033       0.963582        3               
-4.03642        -2              2.42343         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -3.93703        -20             20              
0               0               0.0698866       -2.38982        -18.1073        
19.9998         0               0               0               0               
424002          5.48158e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
5               1.00009         49914.3         0.684734        39.2324         
-3.49944        1.55414         3.06031         3.93628         -0.13496        
-0.137335       28.0594         -3.20828        0.913255        -0.0638292      
-75.575         30.1937         2868.92         329.44          660.33          
38.9922         -7.40733        6.37566e+06     0.115744        2.13719         
2               135324          80893.3         6097.99         0               
0               0               0.0153984       0.966852        3               
-4.03315        -2              2.95001         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -1.27572        -20             -0.642129       
0               0               0.0848714       -0.850026       -19.15          
-0.0252404      0               0               0               0               
424002          5.47501e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
6               1.06566         56948.8         0.682076        39.0801         
-2.49993        -0.101426       2.85529         3.10682         -0.0716353      
0.806584        27.3246         0.177458        1.10146         -0.118022       
-75.5728        30.1961         2830.71         350.95          679.837         
39.0134         -5.59327        6.37562e+06     -0.0143161      1.79563         
1.43331         135189          80757.5         3679.8          0               
0               0               0.0163034       1.3146          3               
-3.6854         -2              2.9461          0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0.214023        -20             -0.911234       
0               0               0.0962657       0.123513        -19.9021        
-0.946052       0               0               0               0               
424002          5.46848e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
7               1.07396         58064.5         0.681016        39.0193         
-1.33681        0.0473073       3.02115         3.03269         -0.0140948      
1.18473         27.2609         0.079579        1.1951          -0.0231577      
-75.5705        30.1986         2800.18         353.741         682.518         
39.0027         -4.35753        6.37559e+06     -0.00368256     1.74194         
1.17128         135095          80663.8         2756.47         0               
0               0               0.0165754       1.36798         3               
-3.63202        -2              2.96987         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0.0448718       -20             -0.191778       
0               0               0.0979726       0.0262809       -19.9792        
-0.201228       0               0               0               0               
424002          5.46195e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
8               1.07317         58149.3         0.680896        39.0125         
-0.130968       0.0891718       3.05079         3.03877         -0.00145109     
1.66967         27.2691         0.0169996       1.20555         -0.00106663     
-75.5682        30.2011         2776.99         353.57          682.547         
39.0064         -3.15768        6.37556e+06     -0.000665617    1.75293         
1.14927         135009          80577.5         2687.91         0               
0               0               0.0165504       1.35743         3               
-3.64257        -2              2.97734         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0.00623834      -20             -0.0242453      
0               0               0.0978815       0.00334076      -19.9967        
-0.0262116      0               0               0               0               
424002          5.45543e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
9               1.07176         58112.5         0.680981        39.0173         
1.0772          0.0976745       3.0488          3.03763         0.00111246      
2.16834         27.2781         0.00314104      1.20412         0.00339681      
-75.5659        30.2035         2761.25         353.173         682.327         
39.0133         -1.94831        6.37555e+06     -3.90986e-05    1.75487         
1.15754         134922          80491.2         2719.04         0               
0               0               0.0165209       1.35548         3               
-3.64452        -2              2.9817          0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00162182     -20             0.00990115      
0               0               0.0976308       -0.000857073    -19.9993        
0.00951199      0               0               0               0               
424002          5.44891e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
10              1.07072         58061.2         0.681106        39.0245         
2.28369         0.0992035       3.04072         3.03326         0.0015951       
2.66882         27.284          0.000205434     1.20265         0.00420117      
-75.5636        30.206          2752.98         352.868         682.132         
39.0209         -0.737462       6.37554e+06     8.57231e-05     1.75252         
1.16975         134835          80404           2761.75         0               
0               0               0.0165036       1.35767         3               
-3.64233        -2              2.9843          0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00313947     -20             0.0164209       
0               0               0.0974261       -0.00155987     -19.9984        
0.0163544       0               0               0               0               
424002          5.44239e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
11              1.07017         58008.4         0.681237        39.032          
3.48916         0.0993626       3.03264         3.02925         0.00165184      
3.17034         27.287          -0.000420117    1.20207         0.00425658      
-75.5613        30.2085         2752.16         352.692         681.995         
39.0285         0.471999        6.37554e+06     9.9114e-05      1.74941         
1.18265         134747          80315.9         2805.47         0               
0               0               0.0164965       1.36063         3               
-3.63937        -2              2.98527         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.003356       -20             0.0173049       
0               0               0.0972934       -0.00187727     -19.9985        
0.0173033       0               0               0               0               
424002          5.43587e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
12              1.07013         57955.5         0.681367        39.0395         
4.69441         0.0993018       3.02574         3.02647         0.00162156      
3.67283         27.2873         -0.000572942    1.20221         0.00415898      
-75.559         30.2109         2758.79         352.651         681.918         
39.0359         1.68002         6.37554e+06     0.000110235     1.7464          
1.19584         134658          80226.9         2848.95         0               
0               0               0.0164989       1.36353         3               
-3.63647        -2              2.98463         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00332449     -20             0.0170476       
0               0               0.0972358       -0.00185914     -19.9985        
0.0170595       0               0               0               0               
424002          5.42935e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
13              1.07058         57901.2         0.681482        39.046          
5.47161         0.0980419       2.57578         2.58162         0.00152695      
3.73956         27.2852         -0.000421427    0.125978        0.00402445      
-75.5567        30.2134         2773            352.742         681.9           
39.0432         2.89948         6.37556e+06     0.000114875     1.58016         
1.20058         134569          80137.6         2815.3          0               
0               0               0.0173231       1.51141         3               
-3.48859        -2              2.98802         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00170336     0.536408        0.0163955       
0               0               0.0972528       -0.00170234     0.328388        
0.016389        0               0               0               0               
424002          5.42284e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
14              1.07158         57865.4         0.681567        39.0509         
5.26647         0.0981262       1.91636         1.9317          0.00147418      
3.27506         27.2749         -0.000186039    -0.349522       0.00402733      
-75.5544        30.2159         2792.69         352.989         682.074         
39.0491         3.33486         6.37558e+06     0.000138923     0.991403        
1.20722         134481          80050.4         2765.22         0               
0               0               0.0185433       2.07573         3               
-2.92427        -2              2.99318         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00170953     0.203047        0.0164124       
0               0               0.0973683       -0.00171007     0.328813        
0.0164179       0               0               0               0               
424002          5.41632e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
15              1.07291         57861.7         0.68165         39.0557         
5.01937         0.0982887       1.8226          1.84136         0.00144998      
3.11844         27.2574         -0.000162607    -0.113622       0.00400951      
-75.5521        30.2183         2812.85         353.343         682.415         
39.054          3.17593         6.37559e+06     0.000138679     0.857626        
1.21018         134395          79964.1         2761.12         0               
0               0               0.0187235       2.20633         3               
-2.79367        -2              2.99151         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00168668     -3.9987         0.0161995       
0               0               0.0975523       -0.00168716     -3.91984        
0.0162038       0               0               0               0               
424002          5.4098e+06      0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
16              1.07427         57867.8         0.68174         39.0608         
5.00765         0.0984738       1.94892         1.96574         0.00145506      
3.18522         27.2396         -0.000180277    0.0492633       0.00400427      
-75.5498        30.2208         2831.94         353.707         682.761         
39.0589         3.04139         6.37561e+06     0.000133285     0.955932        
1.20887         134309          79877.8         2765.58         0               
0               0               0.018511        2.11255         3               
-2.88745        -2              2.9874          0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00168152     -4.9854         0.0161522       
0               0               0.0977422       -0.00168139     -4.99495        
0.0161512       0               0               0               0               
424002          5.40328e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
17              1.07556         57870           0.681832        39.0661         
5.06149         0.0986569       2.00158         2.01731         0.00146372      
3.23702         27.2232         -0.000188312    0.0354448       0.00401105      
-75.5475        30.2233         2850.68         354.054         683.075         
39.0641         3.04452         6.37563e+06     0.000132441     1.0093          
1.20927         134222          79791.3         2768.14         0               
0               0               0.0184327       2.06109         3               
-2.93891        -2              2.98424         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00169034     -4.26591        0.016228        
0               0               0.0979201       -0.00169005     -4.28601        
0.0162255       0               0               0               0               
424002          5.39676e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
18              1.07684         57869.1         0.681923        39.0713         
5.07837         0.0988359       1.98762         2.00349         0.00146739      
3.2353          27.2072         -0.000185654    -0.00426505     0.00401903      
-75.5451        30.2258         2869.6          354.395         683.381         
39.0694         3.07508         6.37565e+06     0.000133956     1.00005         
1.21074         134136          79704.7         2767.37         0               
0               0               0.0184727       2.06988         3               
-2.93012        -2              2.98188         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00169942     -3.8678         0.0163049       
0               0               0.0980946       -0.00169921     -3.87072        
0.0163031       0               0               0               0               
424002          5.39023e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
19              1.07814         57868.4         0.682014        39.0765         
5.07178         0.0990154       1.97413         1.99029         0.00146923      
3.22414         27.191          -0.000183097    -0.0106618      0.00402492      
-75.5428        30.2282         2888.65         354.739         683.693         
39.0746         3.08147         6.37567e+06     0.000135065     0.985893        
1.21218         134049          79618.3         2766.54         0               
0               0               0.0185115       2.08359         3               
-2.91641        -2              2.97948         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00170577     -3.92211        0.0163568       
0               0               0.0982715       -0.00170561     -3.91865        
0.0163556       0               0               0               0               
424002          5.38371e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
20              1.07944         57868.5         0.682104        39.0817         
5.06784         0.0991965       1.97563         1.99184         0.00147177      
3.22268         27.1746         -0.000183083    -0.00331983     0.00403013      
-75.5405        30.2307         2907.71         355.086         684.009         
39.0798         3.07595         6.37569e+06     0.000135571     0.984542        
1.21337         133963          79531.9         2766.43         0               
0               0               0.0185239       2.08504         3               
-2.91496        -2              2.97689         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00171155     -4.01259        0.0164034       
0               0               0.0984503       -0.00171139     -4.01142        
0.0164021       0               0               0               0               
424002          5.37718e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
21              1.08075         57868.6         0.682195        39.0869         
5.06979         0.0993785       1.98065         1.99681         0.00147491      
3.22567         27.1581         -0.000183708    -0.00012523     0.00403567      
-75.5382        30.2332         2926.77         355.434         684.326         
39.085          3.07297         6.3757e+06      0.000136031     0.987359        
1.21452         133877          79445.5         2766.51         0               
0               0               0.0185305       2.08244         3               
-2.91756        -2              2.97425         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00171788     -4.01106        0.0164547       
0               0               0.0986296       -0.00171769     -4.01186        
0.0164532       0               0               0               0               
424002          5.37066e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
22              1.08206         57868.7         0.682287        39.0921         
5.07256         0.0995608       1.98318         1.99932         0.00147803      
3.22757         27.1417         -0.000183926    -0.000996184    0.00404145      
-75.5359        30.2357         2945.83         355.783         684.642         
39.0902         3.07325         6.37572e+06     0.000136616     0.988318        
1.21571         133790          79359.2         2766.47         0               
0               0               0.0185415       2.08161         3               
-2.91839        -2              2.97165         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00172449     -3.9794         0.0165083       
0               0               0.098809        -0.0017243      -3.98016        
0.0165068       0               0               0               0               
424002          5.36413e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
23              1.08337         57868.7         0.682378        39.0974         
5.07422         0.0997436       1.98433         2.00049         0.00148101      
3.22822         27.1253         -0.000183893    -0.00191895     0.00404722      
-75.5335        30.2382         2964.92         356.132         684.959         
39.0954         3.07374         6.37574e+06     0.000137243     0.987898        
1.21693         133704          79272.9         2766.37         0               
0               0               0.018555        2.08212         3               
-2.91788        -2              2.96905         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00173109     -3.961          0.0165617       
0               0               0.098989        -0.00173091     -3.96131        
0.0165603       0               0               0               0               
424002          5.3576e+06      0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
24              1.08468         57868.7         0.682469        39.1026         
5.07544         0.099927        1.98571         2.00189         0.00148397      
3.22881         27.1089         -0.00018389     -0.00194511     0.00405295      
-75.5312        30.2407         2984.02         356.482         685.277         
39.1006         3.07355         6.37576e+06     0.000137857     0.987559        
1.21815         133618          79186.6         2766.27         0               
0               0               0.0185681       2.08255         3               
-2.91745        -2              2.96645         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00173767     -3.95249        0.0166147       
0               0               0.0991696       -0.00173748     -3.95271        
0.0166132       0               0               0               0               
424002          5.35106e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
25              1.086           57868.7         0.682561        39.1078         
5.07679         0.100111        1.98747         2.00365         0.00148695      
3.22968         27.0924         -0.00018395     -0.00174276     0.00405868      
-75.5289        30.2432         3003.15         356.832         685.596         
39.1059         3.07314         6.37578e+06     0.000138461     0.987549        
1.21936         133531          79100.3         2766.19         0               
0               0               0.0185807       2.08266         3               
-2.91734        -2              2.96384         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00174428     -3.9434         0.0166679       
0               0               0.0993508       -0.0017441      -3.9437         
0.0166664       0               0               0               0               
424002          5.34453e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
26              1.08732         57868.7         0.682652        39.1131         
5.07829         0.100296        1.98928         2.00547         0.00148995      
3.23064         27.0759         -0.000184019    -0.00168559     0.00406443      
-75.5265        30.2457         3022.29         357.184         685.916         
39.1111         3.07282         6.3758e+06      0.000139069     0.987599        
1.22058         133445          79014.1         2766.11         0               
0               0               0.0185934       2.08272         3               
-2.91728        -2              2.96122         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00175096     -3.93197        0.0167213       
0               0               0.0995325       -0.00175077     -3.9323         
0.0167198       0               0               0               0               
424002          5.33799e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
27              1.08865         57868.7         0.682744        39.1184         
5.0798          0.100481        1.99103         2.00722         0.00149294      
3.23157         27.0594         -0.000184075    -0.00171484     0.00407019      
-75.5242        30.2482         3041.44         357.536         686.236         
39.1164         3.07257         6.37581e+06     0.000139684     0.987592        
1.2218          133359          78927.9         2766.03         0               
0               0               0.0186062       2.08283         3               
-2.91717        -2              2.9586          0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00175769     -3.92009        0.016775        
0               0               0.0997148       -0.0017575      -3.92041        
0.0167735       0               0               0               0               
424002          5.33146e+06     0               0               0               
0               0               0               0               0               
