tof posE posN posU tgtE tgtN tgtU
0.159 11.8452 10.7483 53.2928 3000 3000 3000
0.16 11.9292 10.8197 53.625 3000 3000 3000
0.161 12.0133 10.8911 53.9572 3000 3000 3000
0.162 12.0975 10.9625 54.2893 3000 3000 3000
0.163 12.1818 11.034 54.6214 3000 3000 3000
0.164 12.2662 11.1055 54.9535 3000 3000 3000
0.165 12.3507 11.1771 55.2855 3000 3000 3000
0.166 12.4353 11.2488 55.6175 3000 3000 3000
0.167 12.52 11.3205 55.9494 3000 3000 3000
0.168 12.6048 11.3922 56.2813 3000 3000 3000
0.169 12.6898 11.464 56.6132 3000 3000 3000
0.17 12.7748 11.5358 56.945 3000 3000 3000
0.171 12.86 11.6077 57.2768 3000 3000 3000
0.172 12.9452 11.6797 57.6085 3000 3000 3000
0.173 13.0306 11.7517 57.9403 3000 3000 3000
0.174 13.1161 11.8237 58.2719 3000 3000 3000
0.175 13.2016 11.8958 58.6036 3000 3000 3000
0.176 13.2873 11.9679 58.9352 3000 3000 3000
0.177 13.3731 12.0401 59.2667 3000 3000 3000
0.178 13.459 12.1123 59.5983 3000 3000 3000
0.179 13.545 12.1846 59.9298 3000 3000 3000
0.18 13.6311 12.2569 60.2612 3000 3000 3000
0.181 13.7173 12.3293 60.5926 3000 3000 3000
0.182 13.8036 12.4017 60.924 3000 3000 3000
0.183 13.89 12.4742 61.2553 3000 3000 3000
0.184 13.9765 12.5467 61.5866 3000 3000 3000
0.185 14.0632 12.6193 61.9179 3000 3000 3000
0.186 14.1499 12.6919 62.2491 3000 3000 3000
0.187 14.2367 12.7645 62.5803 3000 3000 3000
0.188 14.3236 12.8373 62.9114 3000 3000 3000
0.189 14.4107 12.91 63.2425 3000 3000 3000
0.19 14.4978 12.9828 63.5736 3000 3000 3000
0.191 14.5851 13.0557 63.9047 3000 3000 3000
0.192 14.6724 13.1286 64.2356 3000 3000 3000
0.193 14.7599 13.2016 64.5666 3000 3000 3000
0.194 14.8474 13.2746 64.8975 3000 3000 3000
0.195 14.9351 13.3476 65.2284 3000 3000 3000
0.196 15.0228 13.4207 65.5593 3000 3000 3000
0.197 15.1107 13.4939 65.8901 3000 3000 3000
0.198 15.1987 13.5671 66.2208 3000 3000 3000
0.199 15.2867 13.6403 66.5516 3000 3000 3000
0.2 15.3749 13.7137 66.8822 3000 3000 3000
0.201 15.4632 13.787 67.2129 3000 3000 3000
0.202 15.5515 13.8604 67.5435 3000 3000 3000
0.203 15.64 13.9339 67.8741 3000 3000 3000
0.204 15.7286 14.0073 68.2046 3000 3000 3000
0.205 15.8173 14.0809 68.5351 3000 3000 3000
0.206 15.906 14.1545 68.8656 3000 3000 3000
0.207 15.9949 14.2281 69.196 3000 3000 3000
0.208 16.0839 14.3018 69.5264 3000 3000 3000
0.209 16.173 14.3756 69.8568 3000 3000 3000
0.21 16.2621 14.4494 70.1871 3000 3000 3000
0.211 16.3514 14.5232 70.5173 3000 3000 3000
0.212 16.4408 14.5971 70.8476 3000 3000 3000
0.213 16.5303 14.671 71.1778 3000 3000 3000
0.214 16.6198 14.745 71.5079 3000 3000 3000
0.215 16.7095 14.8191 71.8381 3000 3000 3000
0.216 16.7993 14.8931 72.1682 3000 3000 3000
0.217 16.8892 14.9673 72.4982 3000 3000 3000
0.218 16.9791 15.0415 72.8282 3000 3000 3000
0.219 17.0692 15.1157 73.1582 3000 3000 3000
0.22 17.1594 15.19 73.4881 3000 3000 3000
0.221 17.2497 15.2643 73.818 3000 3000 3000
0.222 17.34 15.3387 74.1479 3000 3000 3000
0.223 17.4305 15.4131 74.4777 3000 3000 3000
0.224 17.5211 15.4876 74.8075 3000 3000 3000
0.225 17.6117 15.5621 75.1372 3000 3000 3000
0.226 17.7025 15.6367 75.4669 3000 3000 3000
0.227 17.7934 15.7113 75.7966 3000 3000 3000
0.228 17.8843 15.786 76.1262 3000 3000 3000
0.229 17.9754 15.8607 76.4558 3000 3000 3000
0.23 18.0665 15.9355 76.7853 3000 3000 3000
0.231 18.1578 16.0103 77.1149 3000 3000 3000
0.232 18.2491 16.0851 77.4443 3000 3000 3000
0.233 18.3406 16.1601 77.7738 3000 3000 3000
0.234 18.4321 16.235 78.1032 3000 3000 3000
0.235 18.5238 16.31 78.4325 3000 3000 3000
0.236 18.6155 16.3851 78.7618 3000 3000 3000
0.237 18.7073 16.4602 79.0911 3000 3000 3000
0.238 18.7993 16.5354 79.4204 3000 3000 3000
0.239 18.8913 16.6106 79.7496 3000 3000 3000
0.24 18.9834 16.6858 80.0788 3000 3000 3000
0.241 19.0756 16.7612 80.4079 3000 3000 3000
0.242 19.1679 16.8365 80.737 3000 3000 3000
0.243 19.2603 16.9119 81.066 3000 3000 3000
0.244 19.3528 16.9874 81.3951 3000 3000 3000
0.245 19.4454 17.0629 81.7241 3000 3000 3000
0.246 19.5381 17.1384 82.053 3000 3000 3000
0.247 19.6309 17.214 82.3819 3000 3000 3000
0.248 19.7238 17.2897 82.7108 3000 3000 3000
0.249 19.8168 17.3654 83.0396 3000 3000 3000
0.25 19.9099 17.4411 83.3684 3000 3000 3000
0.251 20.003 17.5169 83.6971 3000 3000 3000
0.252 20.0963 17.5928 84.0259 3000 3000 3000
0.253 20.1897 17.6687 84.3545 3000 3000 3000
0.254 20.2831 17.7446 84.6832 3000 3000 3000
0.255 20.3767 17.8206 85.0118 3000 3000 3000
0.256 20.4703 17.8966 85.3403 3000 3000 3000
0.257 20.5641 17.9727 85.6689 3000 3000 3000
0.258 20.6579 18.0489 85.9973 3000 3000 3000
0.259 20.7518 18.125 86.3258 3000 3000 3000
0.26 20.8458 18.2013 86.6542 3000 3000 3000
0.261 20.9399 18.2776 86.9826 3000 3000 3000
0.262 21.0341 18.3539 87.3109 3000 3000 3000
0.263 21.1284 18.4303 87.6392 3000 3000 3000
0.264 21.2228 18.5067 87.9675 3000 3000 3000
0.265 21.3173 18.5832 88.2957 3000 3000 3000
0.266 21.4119 18.6597 88.6239 3000 3000 3000
0.267 21.5065 18.7363 88.952 3000 3000 3000
0.268 21.6013 18.8129 89.2801 3000 3000 3000
0.269 21.6962 18.8896 89.6082 3000 3000 3000
0.27 21.7911 18.9663 89.9362 3000 3000 3000
0.271 21.8861 19.0431 90.2642 3000 3000 3000
0.272 21.9813 19.1199 90.5922 3000 3000 3000
0.273 22.0765 19.1968 90.9201 3000 3000 3000
0.274 22.1718 19.2737 91.248 3000 3000 3000
0.275 22.2672 19.3507 91.5758 3000 3000 3000
0.276 22.3627 19.4277 91.9036 3000 3000 3000
0.277 22.4583 19.5047 92.2314 3000 3000 3000
0.278 22.554 19.5818 92.5591 3000 3000 3000
0.279 22.6497 19.659 92.8868 3000 3000 3000
0.28 22.7456 19.7362 93.2144 3000 3000 3000
0.281 22.8415 19.8135 93.542 3000 3000 3000
0.282 22.9376 19.8908 93.8696 3000 3000 3000
0.283 23.0337 19.9681 94.1971 3000 3000 3000
0.284 23.1299 20.0455 94.5246 3000 3000 3000
0.285 23.2262 20.123 94.8521 3000 3000 3000
0.286 23.3226 20.2005 95.1795 3000 3000 3000
0.287 23.4191 20.278 95.5069 3000 3000 3000
0.288 23.5157 20.3556 95.8343 3000 3000 3000
0.289 23.6124 20.4333 96.1616 3000 3000 3000
0.29 23.7092 20.511 96.4888 3000 3000 3000
0.291 23.806 20.5887 96.8161 3000 3000 3000
0.292 23.903 20.6665 97.1433 3000 3000 3000
0.293 24 20.7443 97.4704 3000 3000 3000
0.294 24.0971 20.8222 97.7975 3000 3000 3000
0.295 24.1943 20.9002 98.1246 3000 3000 3000
0.296 24.2916 20.9781 98.4517 3000 3000 3000
0.297 24.389 21.0562 98.7787 3000 3000 3000
0.298 24.4865 21.1342 99.1056 3000 3000 3000
0.299 24.584 21.2124 99.4326 3000 3000 3000
0.3 24.6817 21.2906 99.7594 3000 3000 3000
0.301 24.7794 21.3688 100.086 3000 3000 3000
0.302 24.8773 21.447 100.413 3000 3000 3000
0.303 24.9752 21.5254 100.74 3000 3000 3000
0.304 25.0732 21.6037 101.067 3000 3000 3000
0.305 25.1713 21.6822 101.393 3000 3000 3000
0.306 25.2695 21.7606 101.72 3000 3000 3000
0.307 25.3677 21.8391 102.047 3000 3000 3000
0.308 25.4661 21.9177 102.373 3000 3000 3000
0.309 25.5645 21.9963 102.7 3000 3000 3000
0.31 25.6631 22.075 103.026 3000 3000 3000
0.311 25.7617 22.1537 103.353 3000 3000 3000
0.312 25.8604 22.2324 103.679 3000 3000 3000
0.313 25.9592 22.3112 104.006 3000 3000 3000
0.314 26.0581 22.3901 104.332 3000 3000 3000
0.315 26.157 22.469 104.658 3000 3000 3000
0.316 26.2561 22.5479 104.985 3000 3000 3000
0.317 26.3552 22.6269 105.311 3000 3000 3000
0.318 26.4545 22.706 105.637 3000 3000 3000
0.319 26.5538 22.7851 105.963 3000 3000 3000
0.32 26.6532 22.8642 106.289 3000 3000 3000
0.321 26.7527 22.9434 106.615 3000 3000 3000
0.322 26.8522 23.0226 106.941 3000 3000 3000
0.323 26.9519 23.1019 107.267 3000 3000 3000
0.324 27.0516 23.1812 107.593 3000 3000 3000
0.325 27.1515 23.2606 107.919 3000 3000 3000
0.326 27.2514 23.34 108.245 3000 3000 3000
0.327 27.3514 23.4195 108.571 3000 3000 3000
0.328 27.4515 23.499 108.897 3000 3000 3000
0.329 27.5516 23.5786 109.223 3000 3000 3000
0.33 27.6519 23.6582 109.549 3000 3000 3000
0.331 27.7522 23.7379 109.874 3000 3000 3000
0.332 27.8526 23.8176 110.2 3000 3000 3000
0.333 27.9532 23.8973 110.526 3000 3000 3000
0.334 28.0537 23.9771 110.851 3000 3000 3000
0.335 28.1544 24.057 111.177 3000 3000 3000
0.336 28.2552 24.1369 111.502 3000 3000 3000
0.337 28.356 24.2169 111.828 3000 3000 3000
0.338 28.457 24.2969 112.153 3000 3000 3000
0.339 28.558 24.3769 112.479 3000 3000 3000
0.34 28.6591 24.457 112.804 3000 3000 3000
0.341 28.7603 24.5371 113.129 3000 3000 3000
0.342 28.8615 24.6173 113.455 3000 3000 3000
0.343 28.9629 24.6976 113.78 3000 3000 3000
0.344 29.0643 24.7778 114.105 3000 3000 3000
0.345 29.1658 24.8582 114.43 3000 3000 3000
0.346 29.2674 24.9386 114.755 3000 3000 3000
0.347 29.3691 25.019 115.081 3000 3000 3000
0.348 29.4709 25.0995 115.406 3000 3000 3000
0.349 29.5727 25.18 115.731 3000 3000 3000
0.35 29.6747 25.2605 116.056 3000 3000 3000
0.351 29.7767 25.3412 116.381 3000 3000 3000
0.352 29.8788 25.4218 116.706 3000 3000 3000
0.353 29.981 25.5025 117.03 3000 3000 3000
0.354 30.0832 25.5833 117.355 3000 3000 3000
0.355 30.1856 25.6641 117.68 3000 3000 3000
0.356 30.288 25.7449 118.005 3000 3000 3000
0.357 30.3905 25.8258 118.33 3000 3000 3000
0.358 30.4931 25.9068 118.654 3000 3000 3000
0.359 30.5958 25.9878 118.979 3000 3000 3000
0.36 30.6986 26.0688 119.304 3000 3000 3000
0.361 30.8014 26.1499 119.628 3000 3000 3000
0.362 30.9043 26.231 119.953 3000 3000 3000
0.363 31.0073 26.3122 120.277 3000 3000 3000
0.364 31.1104 26.3934 120.602 3000 3000 3000
0.365 31.2136 26.4747 120.926 3000 3000 3000
0.366 31.3168 26.556 121.251 3000 3000 3000
0.367 31.4201 26.6374 121.575 3000 3000 3000
0.368 31.5235 26.7188 121.899 3000 3000 3000
0.369 31.627 26.8003 122.223 3000 3000 3000
0.37 31.7306 26.8818 122.548 3000 3000 3000
0.371 31.8342 26.9634 122.872 3000 3000 3000
0.372 31.938 27.045 123.196 3000 3000 3000
0.373 32.0418 27.1266 123.52 3000 3000 3000
0.374 32.1457 27.2083 123.844 3000 3000 3000
0.375 32.2496 27.2901 124.168 3000 3000 3000
0.376 32.3537 27.3719 124.492 3000 3000 3000
0.377 32.4578 27.4537 124.816 3000 3000 3000
0.378 32.562 27.5356 125.14 3000 3000 3000
0.379 32.6663 27.6175 125.464 3000 3000 3000
0.38 32.7707 27.6995 125.788 3000 3000 3000
0.381 32.8752 27.7815 126.112 3000 3000 3000
0.382 32.9797 27.8636 126.436 3000 3000 3000
0.383 33.0843 27.9457 126.759 3000 3000 3000
0.384 33.189 28.0279 127.083 3000 3000 3000
0.385 33.2938 28.1101 127.407 3000 3000 3000
0.386 33.3986 28.1923 127.731 3000 3000 3000
0.387 33.5035 28.2746 128.054 3000 3000 3000
0.388 33.6085 28.357 128.378 3000 3000 3000
0.389 33.7136 28.4394 128.701 3000 3000 3000
0.39 33.8188 28.5218 129.025 3000 3000 3000
0.391 33.924 28.6043 129.348 3000 3000 3000
0.392 34.0293 28.6869 129.672 3000 3000 3000
0.393 34.1347 28.7694 129.995 3000 3000 3000
0.394 34.2402 28.8521 130.318 3000 3000 3000
0.395 34.3458 28.9347 130.642 3000 3000 3000
0.396 34.4514 29.0175 130.965 3000 3000 3000
0.397 34.5571 29.1002 131.288 3000 3000 3000
0.398 34.6629 29.183 131.611 3000 3000 3000
0.399 34.7688 29.2659 131.935 3000 3000 3000
0.4 34.8747 29.3488 132.258 3000 3000 3000
0.401 34.9807 29.4318 132.581 3000 3000 3000
0.402 35.0868 29.5148 132.904 3000 3000 3000
0.403 35.193 29.5978 133.227 3000 3000 3000
0.404 35.2993 29.6809 133.55 3000 3000 3000
0.405 35.4056 29.764 133.873 3000 3000 3000
0.406 35.512 29.8472 134.196 3000 3000 3000
0.407 35.6185 29.9305 134.518 3000 3000 3000
0.408 35.7251 30.0137 134.841 3000 3000 3000
0.409 35.8317 30.0971 135.164 3000 3000 3000
0.41 35.9384 30.1804 135.487 3000 3000 3000
0.411 36.0452 30.2638 135.81 3000 3000 3000
0.412 36.1521 30.3473 136.132 3000 3000 3000
0.413 36.259 30.4308 136.455 3000 3000 3000
0.414 36.3661 30.5143 136.777 3000 3000 3000
0.415 36.4732 30.5979 137.1 3000 3000 3000
0.416 36.5803 30.6816 137.423 3000 3000 3000
0.417 36.6876 30.7653 137.745 3000 3000 3000
0.418 36.7949 30.849 138.067 3000 3000 3000
0.419 36.9023 30.9328 138.39 3000 3000 3000
0.42 37.0098 31.0166 138.712 3000 3000 3000
0.421 37.1174 31.1005 139.035 3000 3000 3000
0.422 37.225 31.1844 139.357 3000 3000 3000
0.423 37.3327 31.2684 139.679 3000 3000 3000
0.424 37.4405 31.3524 140.001 3000 3000 3000
0.425 37.5483 31.4364 140.324 3000 3000 3000
0.426 37.6563 31.5205 140.646 3000 3000 3000
0.427 37.7643 31.6047 140.968 3000 3000 3000
0.428 37.8724 31.6889 141.29 3000 3000 3000
0.429 37.9805 31.7731 141.612 3000 3000 3000
0.43 38.0887 31.8574 141.934 3000 3000 3000
0.431 38.1971 31.9417 142.256 3000 3000 3000
0.432 38.3054 32.0261 142.578 3000 3000 3000
0.433 38.4139 32.1105 142.9 3000 3000 3000
0.434 38.5224 32.1949 143.222 3000 3000 3000
0.435 38.631 32.2795 143.544 3000 3000 3000
0.436 38.7397 32.364 143.865 3000 3000 3000
0.437 38.8485 32.4486 144.187 3000 3000 3000
0.438 38.9573 32.5332 144.509 3000 3000 3000
0.439 39.0662 32.6179 144.83 3000 3000 3000
0.44 39.1752 32.7027 145.152 3000 3000 3000
0.441 39.2842 32.7874 145.474 3000 3000 3000
0.442 39.3933 32.8723 145.795 3000 3000 3000
0.443 39.5025 32.9571 146.117 3000 3000 3000
0.444 39.6118 33.0421 146.438 3000 3000 3000
0.445 39.7212 33.127 146.76 3000 3000 3000
0.446 39.8306 33.212 147.081 3000 3000 3000
0.447 39.9401 33.2971 147.402 3000 3000 3000
0.448 40.0496 33.3822 147.724 3000 3000 3000
0.449 40.1593 33.4673 148.045 3000 3000 3000
0.45 40.269 33.5525 148.366 3000 3000 3000
0.451 40.3788 33.6377 148.688 3000 3000 3000
0.452 40.4886 33.723 149.009 3000 3000 3000
0.453 40.5985 33.8083 149.33 3000 3000 3000
0.454 40.7085 33.8937 149.651 3000 3000 3000
0.455 40.8186 33.9791 149.972 3000 3000 3000
0.456 40.9288 34.0645 150.293 3000 3000 3000
0.457 41.039 34.15 150.614 3000 3000 3000
0.458 41.1493 34.2355 150.935 3000 3000 3000
0.459 41.2596 34.3211 151.256 3000 3000 3000
0.46 41.3701 34.4068 151.577 3000 3000 3000
0.461 41.4806 34.4924 151.898 3000 3000 3000
0.462 41.5912 34.5782 152.219 3000 3000 3000
0.463 41.7018 34.6639 152.54 3000 3000 3000
0.464 41.8125 34.7497 152.86 3000 3000 3000
0.465 41.9233 34.8356 153.181 3000 3000 3000
0.466 42.0342 34.9215 153.502 3000 3000 3000
0.467 42.1451 35.0074 153.822 3000 3000 3000
0.468 42.2561 35.0934 154.143 3000 3000 3000
0.469 42.3672 35.1794 154.464 3000 3000 3000
0.47 42.4784 35.2655 154.784 3000 3000 3000
0.471 42.5896 35.3516 155.105 3000 3000 3000
0.472 42.7009 35.4378 155.425 3000 3000 3000
0.473 42.8123 35.524 155.745 3000 3000 3000
0.474 42.9237 35.6102 156.066 3000 3000 3000
0.475 43.0352 35.6965 156.386 3000 3000 3000
0.476 43.1468 35.7829 156.707 3000 3000 3000
0.477 43.2584 35.8693 157.027 3000 3000 3000
0.478 43.3701 35.9557 157.347 3000 3000 3000
0.479 43.4819 36.0422 157.667 3000 3000 3000
0.48 43.5938 36.1287 157.987 3000 3000 3000
0.481 43.7057 36.2152 158.308 3000 3000 3000
0.482 43.8177 36.3018 158.628 3000 3000 3000
0.483 43.9298 36.3885 158.948 3000 3000 3000
0.484 44.0419 36.4752 159.268 3000 3000 3000
0.485 44.1541 36.5619 159.588 3000 3000 3000
0.486 44.2664 36.6487 159.908 3000 3000 3000
0.487 44.3788 36.7355 160.228 3000 3000 3000
0.488 44.4912 36.8224 160.548 3000 3000 3000
0.489 44.6037 36.9093 160.867 3000 3000 3000
0.49 44.7162 36.9962 161.187 3000 3000 3000
0.491 44.8289 37.0832 161.507 3000 3000 3000
0.492 44.9416 37.1703 161.827 3000 3000 3000
0.493 45.0543 37.2573 162.146 3000 3000 3000
0.494 45.1672 37.3445 162.466 3000 3000 3000
0.495 45.2801 37.4316 162.786 3000 3000 3000
0.496 45.393 37.5189 163.105 3000 3000 3000
0.497 45.5061 37.6061 163.425 3000 3000 3000
0.498 45.6192 37.6934 163.744 3000 3000 3000
0.499 45.7324 37.7808 164.064 3000 3000 3000
0.5 45.8456 37.8682 164.383 3000 3000 3000
0.501 45.9589 37.9556 164.703 3000 3000 3000
0.502 46.0723 38.0431 165.022 3000 3000 3000
0.503 46.1858 38.1306 165.341 3000 3000 3000
0.504 46.2993 38.2181 165.661 3000 3000 3000
0.505 46.4129 38.3057 165.98 3000 3000 3000
0.506 46.5265 38.3934 166.299 3000 3000 3000
0.507 46.6403 38.4811 166.618 3000 3000 3000
0.508 46.7541 38.5688 166.937 3000 3000 3000
