tof posE posN posU tgtE tgtN tgtU normComm normAch sideComm sideAch
0.2700000000000001 9.851454177414464 8.264226591220662 27.74011886280593 2986.5 2986.5 2986.5 -7.108009450489246 -0.05274970872762232 1.6041863995210008 0.011616020753167632
0.2800000000000001 10.501554632608892 8.80931723269799 28.89406374292207 2986.0 2986.0 2986.0 -7.6080978898891045 -0.06263575605748829 1.7205936317032007 0.013814691947746968
0.2900000000000001 11.179151088267476 9.37740534373018 30.095425908074454 2985.5 2985.5 2985.5 -8.124271420002836 -0.07335587345461195 1.8411217898793217 0.01620348002794219
0.3000000000000001 11.884274311238615 9.968509922679726 31.344170626964825 2985.0 2985.0 2985.0 -8.656602141781548 -0.08526315071595271 1.9657838219049757 0.018860843241446407
0.3100000000000001 12.616954891804243 10.582649682126481 32.64026301844936 2984.5 2984.5 2984.5 -9.20511645957024 -0.09849122772423131 2.094605449828636 0.021817730345956163
0.3200000000000001 13.377223400146022 11.219843141277147 33.9836679180752 2984.0 2984.0 2984.0 -9.769839804038547 -0.11318458757461346 2.227613696625477 0.025107769409899502
0.3300000000000001 14.165110527980964 11.88010871025019 35.37434975603314 2983.5 2983.5 2983.5 -10.350796725031897 -0.12949986328144525 2.364836870165237 0.028767535012241982
0.34000000000000014 14.9806472195979 12.563464768609798 36.812272443058134 2983.0 2983.0 2983.0 -10.94801071092467 -0.14760560728024213 2.5063046021072313 0.0328365181106829
0.35000000000000014 15.823864792983727 13.269929738657225 38.29739926370615 2982.5 2982.5 2982.5 -11.561504046840788 -0.16768226358049437 2.6520478712925266 0.03735714445612409
0.36000000000000015 16.694795052074983 13.99952215411609 39.82969277616275 2982.0 2982.0 2982.0 -12.191297671586366 -0.18992212906147907 2.8020990228939278 0.04237479228783591
0.37000000000000016 17.59347039104894 14.752260724765495 41.40911471783621 2981.5 2981.5 2981.5 -12.837411030084205 -0.21452928293727022 2.9564917844492284 0.04793780468979784
0.38000000000000017 18.51992389143189 15.528164397489375 43.035625916097985 2981.0 2981.0 2981.0 -13.499861921520663 -0.24171948234572574 3.115261278954774 0.05409749629254547
0.3900000000000002 19.474189412686325 16.327252414137956 44.70918620362751 2980.5 2980.5 2980.5 -14.178666343556683 -0.2717200231297281 3.278444035127907 0.06090815425866
0.4000000000000002 20.45630167684083 17.149544366536244 46.429754337897975 2980.0 2980.0 2980.0 -14.873838332912571 -0.30476956480998274 3.4460779949355045 0.06842703347413048
0.4100000000000002 21.466296347644 17.995060248922645 48.19728792440774 2979.5 2979.5 2979.5 -15.585389802610008 -0.3411179186864587 3.6182025184762914 0.0767143458508
