TOF RNG ALT THETA RATE ALPHA ALPHADOT RATEDOT WDOT
0.1120 8.5707 1008.3696 0.7848 -0.0228 0.0481 0.0765 -0.6781 1.2943
0.1130 8.7269 1008.5222 0.7848 -0.0235 0.0482 0.0748 -0.6917 1.3200
0.1140 8.8845 1008.6762 0.7848 -0.0242 0.0483 0.0732 -0.7054 1.3460
0.1150 9.0435 1008.8315 0.7847 -0.0249 0.0484 0.0715 -0.7193 1.3722
0.1160 9.2038 1008.9882 0.7847 -0.0256 0.0484 0.0698 -0.7333 1.3987
0.1170 9.3656 1009.1462 0.7847 -0.0264 0.0485 0.0682 -0.7474 1.4253
0.1180 9.5287 1009.3056 0.7847 -0.0271 0.0486 0.0665 -0.7616 1.4522
0.1190 9.6932 1009.4663 0.7846 -0.0279 0.0486 0.0648 -0.7759 1.4793
0.1200 9.8592 1009.6284 0.7846 -0.0287 0.0487 0.0632 -0.7904 1.5066
0.1210 10.0265 1009.7919 0.7846 -0.0295 0.0488 0.0615 -0.8050 1.5341
0.1220 10.1951 1009.9567 0.7846 -0.0303 0.0488 0.0599 -0.8197 1.5619
0.1230 10.3652 1010.1228 0.7845 -0.0311 0.0489 0.0582 -0.8345 1.5898
0.1240 10.5367 1010.2903 0.7845 -0.0319 0.0489 0.0565 -0.8494 1.6180
0.1250 10.7095 1010.4591 0.7845 -0.0328 0.0490 0.0549 -0.8645 1.6464
0.1260 10.8837 1010.6293 0.7844 -0.0337 0.0491 0.0532 -0.8796 1.6749
0.1270 11.0593 1010.8008 0.7844 -0.0346 0.0491 0.0515 -0.8949 1.7037
0.1280 11.2362 1010.9737 0.7844 -0.0355 0.0492 0.0499 -0.9103 1.7327
0.1290 11.4146 1011.1479 0.7843 -0.0364 0.0492 0.0482 -0.9258 1.7618
0.1300 11.5943 1011.3235 0.7843 -0.0373 0.0493 0.0465 -0.9414 1.7912
0.1310 11.7753 1011.5004 0.7842 -0.0383 0.0493 0.0448 -0.9571 1.8207
0.1320 11.9578 1011.6786 0.7842 -0.0392 0.0493 0.0431 -0.9729 1.8505
0.1330 12.1416 1011.8582 0.7842 -0.0402 0.0494 0.0414 -0.9888 1.8804
0.1340 12.3268 1012.0391 0.7841 -0.0412 0.0494 0.0397 -1.0048 1.9105
0.1350 12.5134 1012.2213 0.7841 -0.0422 0.0495 0.0380 -1.0209 1.9408
0.1360 12.7013 1012.4049 0.7840 -0.0432 0.0495 0.0363 -1.0371 1.9712
0.1370 12.8906 1012.5898 0.7840 -0.0443 0.0495 0.0346 -1.0534 2.0018
0.1380 13.0812 1012.7760 0.7840 -0.0453 0.0496 0.0329 -1.0698 2.0326
0.1390 13.2732 1012.9636 0.7839 -0.0464 0.0496 0.0311 -1.0863 2.0636
0.1400 13.4666 1013.1525 0.7839 -0.0475 0.0496 0.0294 -1.1029 2.0947
0.1410 13.6613 1013.3427 0.7838 -0.0486 0.0497 0.0276 -1.1196 2.1260
0.1420 13.8574 1013.5343 0.7838 -0.0498 0.0497 0.0259 -1.1364 2.1574
0.1430 14.0549 1013.7272 0.7837 -0.0509 0.0497 0.0241 -1.1532 2.1890
0.1440 14.2537 1013.9213 0.7837 -0.0521 0.0497 0.0223 -1.1702 2.2207
0.1450 14.4539 1014.1169 0.7836 -0.0532 0.0498 0.0206 -1.1872 2.2526
0.1460 14.6554 1014.3137 0.7836 -0.0544 0.0498 0.0188 -1.2043 2.2846
0.1470 14.8583 1014.5119 0.7835 -0.0557 0.0498 0.0170 -1.2215 2.3167
0.1480 15.0625 1014.7113 0.7834 -0.0569 0.0498 0.0152 -1.2388 2.3490
0.1490 15.2681 1014.9121 0.7834 -0.0581 0.0498 0.0133 -1.2561 2.3814
0.1500 15.4750 1015.1142 0.7833 -0.0594 0.0498 0.0115 -1.2735 2.4140
0.1510 15.6833 1015.3177 0.7833 -0.0607 0.0499 0.0097 -1.2910 2.4466
0.1520 15.8929 1015.5224 0.7832 -0.0620 0.0499 0.0078 -1.3085 2.4794
0.1530 16.1039 1015.7284 0.7831 -0.0633 0.0499 0.0060 -1.3261 2.5122
0.1540 16.3162 1015.9358 0.7831 -0.0646 0.0499 0.0041 -1.3438 2.5452
0.1550 16.5299 1016.1445 0.7830 -0.0660 0.0499 0.0022 -1.3616 2.5783
0.1560 16.7449 1016.3544 0.7829 -0.0674 0.0499 0.0003 -1.3794 2.6115
0.1570 16.9612 1016.5657 0.7829 -0.0687 0.0499 -0.0016 -1.3972 2.6447
0.1580 17.1789 1016.7783 0.7828 -0.0701 0.0499 -0.0035 -1.4151 2.6781
0.1590 17.3980 1016.9922 0.7827 -0.0716 0.0499 -0.0054 -1.4331 2.7115
