1 input_9_1_1 AGM6 Test Case.asc  Nov 30 2022 21:05:34
  0  0 53
time            vmach_m1        psiblx_m1       thtblx_m1       phiblx_m1       
SBEL1_m1        SBEL2_m1        SBEL3_m1        VBEL1_m1        VBEL2_m1        
VBEL3_m1        mseek_m1        mach_t1         SAEL1_t1        SAEL2_t1        
SAEL3_t1        VAEL1_t1        VAEL2_t1        VAEL3_t1        psivlx_t1       
thtvlx_t1       alt_t1          aax_t1          alx_t1          anx_t1          
mach_a1         SAEL1_a1        SAEL2_a1        SAEL3_a1        VAEL1_a1        
VAEL2_a1        VAEL3_a1        psivlx_a1       thtvlx_a1       alt_a1          
STCEL11_a1      STCEL12_a1      STCEL13_a1      VTCEL11_a1      VTCEL12_a1      
VTCEL13_a1      STCEL21_a1      STCEL22_a1      STCEL23_a1      VTCEL21_a1      
VTCEL22_a1      VTCEL23_a1      STCEL31_a1      STCEL32_a1      STCEL33_a1      
VTCEL31_a1      VTCEL32_a1      VTCEL33_a1      
-12.1145        2               0.0147099       33011           9926.07         
-100            1.45176         -4.78463        0               -73.1211        
-0              100             0               0.01            1               
0.944888        4411.95         0               -6928.69        295.334         
0               4.9372          0               -0.957746       6928.69         
32996.2         9946.28         -67.8494        2.19668         -4.57617        
-0.184615       0               0               0               0               
0               0               0               0               0               
0               0               0               
16              1.09293         1.37801         11.0602         -0.102989       
5009.18         133.236         -6827.45        340.668         24.0647         
-15.3608        2               0.0147099       33012.5         9921.3          
-100            1.54543         -4.7552         0               -71.9959        
-0              100             0               0.01            1               
0.945349        4707.36         0               -6923.75        295.497         
0               4.93994         0               -0.957746       6923.75         
33017.3         9931.26         -134.753        1.7725          -4.50351        
0.027746        0               0               0               0               
0               0               0               0               0               
0               0               0               
17              1.10279         1.76656         11.2785         0               
5351.29         158.505         -6844.37        343.543         26.4769         
-18.4406        2               0.0147099       33014.1         9916.57         
-100            1.63852         -4.72394        0               -70.8707        
-0              100             0               0.01            1               
0.945811        5002.94         0               -6918.81        295.661         
0               4.94268         0               -0.957746       6918.81         
33000.5         9926.69         -60.194         2.22711         -5.08359        
-0.373872       0               0               0               0               
0               0               0               0               0               
0               0               0               
18              1.11254         2.15787         11.5348         0.0269884       
5696.24         186.201         -6864.28        346.339         28.922          
-21.3705        2               0.0147099       33015.7         9911.86         
-100            1.73097         -4.69085        0               -69.7455        
-0              100             0               0.01            1               
0.946272        5298.69         0               -6913.87        295.825         
0               4.94542         0               -0.957746       6913.87         
33012.3         9901.61         -72.1894        2.30726         -4.43745        
-0.0887329      0               0               0               0               
0               0               0               0               0               
0               0               0               
19              1.1222          2.54708         11.7584         0.0420242       
6043.94         216.361         -6887.07        349.061         31.4048         
-24.1843        2               0.0147099       33017.5         9907.18         
-100            1.82275         -4.65596        0               -68.6203        
-0              100             0               0.01            1               
